,Churn,Tenure,MonthlyCharge
635,Yes,9.126959742,154.991856
636,No,2.684151079,139.987503
637,Yes,24.39432985,245.145743
638,Yes,4.676474348,187.609354
639,Yes,4.065555679,159.965008
640,Yes,19.95372925,192.440432
641,Yes,4.241019424,172.440432
642,No,14.02310297,204.961033
643,No,1.042140757,222.649979
644,Yes,4.483251529,159.951231
645,Yes,2.768037617,159.965008
646,No,6.357562637,152.510442
647,Yes,7.748370205,187.656013
648,No,6.90648504,184.978458
649,No,11.80191083,127.481989
650,Yes,20.75499393,220.118516
651,No,10.57261422,162.482694
652,Yes,5.260136013,245.146969
653,Yes,28.38835566,162.465269
654,Yes,2.451160296,149.984492
655,No,7.243986575,147.478341
656,No,1.876407503,184.963371
657,No,7.29973843,172.47417
658,Yes,11.24483017,200.132293
659,No,6.735352382,92.455141
660,Yes,5.991017375,214.966286
661,No,16.67574291,127.458638
662,No,10.28281832,120.003499
663,Yes,19.21689293,210.105118
664,Yes,11.34954445,142.500692
665,No,1.846161288,79.978861
666,No,14.86270396,137.468388
667,No,2.216583602,134.950905
668,No,16.53708435,104.962874
669,No,3.7013893,102.474625
670,Yes,5.261502169,162.482694
671,Yes,7.279044337,159.994242
672,No,13.80323806,92.455141
673,Yes,15.92219451,255.155493
674,Yes,3.525858481,159.983006
675,Yes,9.85591776,169.944668
676,No,9.75910234,127.511223
677,No,5.506476096,95.019486
678,No,6.999864982,134.980139
679,No,19.50833872,112.455141
680,No,7.320050181,92.455141
681,Yes,8.886453729,127.442069
682,No,17.80378998,129.962093
683,No,7.847288476,112.484375
684,No,10.8040205,212.641455
685,Yes,7.798523158,220.161527
686,No,9.586248224,149.937833
687,Yes,9.428767036,232.641455
688,No,8.019086021,192.470522
689,Yes,5.78988794,194.966286
690,No,23.02862012,114.965789
691,No,2.72317525,192.48852
692,No,18.92157073,152.479779
693,No,11.90088632,154.961766
694,No,28.93788212,124.97808
695,Yes,1.570209934,152.44408
696,Yes,10.85959186,232.641455
697,Yes,1.338441957,182.465269
698,Yes,2.995498523,242.610632
699,Yes,10.56061324,202.443347
700,No,9.84141211,117.487242
701,No,16.66441267,184.979684
702,Yes,12.84120976,240.114868
703,Yes,5.759265746,184.967019
704,No,7.979145258,127.458638
705,No,19.28424826,184.985293
706,No,13.57977305,277.63748
707,Yes,3.520675631,172.457857
708,Yes,10.49916723,194.966286
709,Yes,1.72479919,174.975543
710,Yes,5.567028377,149.937833
711,No,11.84987964,112.455141
712,No,3.976305626,149.959755
713,Yes,5.759571228,277.63748
714,No,3.613513424,112.484375
715,No,5.156978882,117.439154
716,Yes,16.75922789,275.133571
717,Yes,13.85187885,147.456419
718,Yes,9.472450618,204.949594
719,No,6.636312277,127.474951
720,No,2.904448825,129.962093
721,Yes,4.800346852,242.610632
722,No,10.35063785,127.442069
723,No,14.71592037,104.964303
724,Yes,9.758067608,182.443347
725,Yes,9.820011726,159.947583
726,No,8.458573247,157.483594
727,No,8.508626757,129.948316
728,No,11.70347852,139.934918
729,Yes,29.8284414,222.649979
730,No,7.004427474,162.482694
731,Yes,7.439569893,125.007314
732,Yes,21.05353987,204.949594
733,No,6.050060777,139.965008
734,No,7.599617029,182.465269
735,No,5.473564746,104.992311
736,Yes,4.803306414,220.118516
737,Yes,6.051428262,154.991856
738,No,6.503513341,142.452604
739,Yes,1.650263525,147.442069
740,No,2.282601557,124.97808
741,No,15.70393958,220.118516
742,No,11.56648604,117.439154
743,No,1.322671871,95.019486
744,No,12.11795763,162.482694
745,Yes,9.539962975,159.947583
746,No,4.303745101,104.97808
747,No,7.607475355,117.483475
748,Yes,3.736763788,172.484753
749,No,22.39935475,169.937833
750,No,20.07541432,147.473844
751,Yes,7.677648117,175.133074
752,No,14.08292576,195.006206
753,No,11.14672304,127.458638
754,Yes,6.343374736,245.145743
755,Yes,21.1875693,220.132293
756,No,19.9441873,147.442069
757,Yes,3.196943016,275.119794
758,Yes,3.248169927,162.45383
759,No,6.248150471,124.964303
760,No,3.293435643,192.48852
761,No,1.754385394,104.97808
762,No,11.48773622,137.487242
763,No,5.711646401,124.97808
764,No,7.603357235,172.44408
765,No,2.084118551,114.972827
766,Yes,6.587201276,202.443347
767,No,4.603347641,159.983006
768,No,6.541066702,187.46728
769,No,4.332134531,157.469817
770,Yes,2.279259145,212.641455
771,Yes,9.043575718,172.470522
772,No,8.446160069,104.992311
773,No,3.990895779,134.950905
774,No,9.07068647,187.484705
775,No,16.97529426,149.988989
776,No,25.77611616,182.483267
777,Yes,3.189179387,210.105118
778,No,6.49110882,129.994975
779,Yes,8.908332009,194.974431
780,No,15.37107894,139.983006
781,Yes,9.715065141,262.610632
782,Yes,9.582004744,255.119794
783,Yes,5.84055678,192.470522
784,No,2.968358466,114.950905
785,No,9.294088005,129.99153
786,Yes,12.96208301,129.99153
787,No,2.831804349,114.972827
788,No,9.322934248,159.979358
789,Yes,11.75027091,164.964681
790,Yes,6.509951549,159.965581
791,No,3.087125795,160.00128
792,No,5.310878954,149.959755
793,Yes,4.208227552,222.628057
794,Yes,4.933319572,204.963371
795,Yes,6.284107728,172.44408
796,Yes,2.179548523,220.114868
797,Yes,9.289517752,149.97755
798,Yes,12.55438733,270.160419
799,No,28.86969715,152.44408
800,Yes,8.063547235,232.62403
801,Yes,4.612099351,222.632554
802,Yes,14.60526414,262.610632
803,No,11.95255483,179.979358
804,Yes,5.044076415,165.01134
805,No,13.55218661,242.628057
806,No,7.748288711,182.465269
807,No,8.360649713,92.455141
808,Yes,9.162445307,179.965581
809,Yes,5.823321565,255.119794
810,Yes,8.294910436,182.460772
811,No,29.10639477,127.458638
812,Yes,5.786960464,207.609354
813,Yes,19.70266217,117.468591
814,No,4.455386749,95.005709
815,No,9.44860885,217.470195
816,Yes,4.986528165,245.146969
817,No,12.00858052,177.48762
818,No,10.26390461,172.44408
819,Yes,1.525343103,232.652038
820,Yes,11.78880203,147.442069
821,Yes,24.19132114,242.61428
822,Yes,14.37727698,172.487091
823,No,1.128335443,212.641455
824,Yes,5.691421867,154.975543
825,Yes,6.492246879,154.975543
826,Yes,3.831221517,207.481057
827,No,11.08306586,127.495766
828,No,7.48578642,127.442069
829,Yes,8.654535873,194.976769
830,No,5.179004124,114.997564
831,Yes,1.440416687,207.638588
832,Yes,7.542749465,184.971516
833,No,4.607336316,182.446995
834,Yes,6.28842083,169.944668
835,Yes,1.532973151,220.132293
836,No,15.74763468,142.452604
837,No,23.956929,129.994975
838,No,9.073819276,139.979239
839,No,4.310152224,157.483594
840,Yes,19.76529476,200.118516
841,No,17.71637154,149.959755
842,Yes,17.37839741,182.460772
843,Yes,5.130341596,212.641455
844,No,6.588311936,149.977753
845,No,4.222122394,129.976324
846,No,10.81273093,152.466002
847,Yes,1.078815111,142.482694
848,Yes,7.161869147,132.479779
849,No,4.313377262,149.984492
850,Yes,11.38490458,240.114868
851,Yes,26.01552533,230.105118
852,Yes,4.784582646,129.994975
853,Yes,5.110718131,159.980465
854,No,8.802527803,117.468591
855,Yes,4.667703398,247.664655
856,Yes,7.455148937,184.993915
857,No,4.475652318,162.467607
858,Yes,17.28550612,277.651257
859,No,2.284207057,172.455519
860,No,5.028564472,149.959755
861,No,11.09808176,172.456745
862,Yes,2.010353461,169.992756
863,Yes,5.240131023,172.440432
864,No,3.414733275,194.988208
865,Yes,1.901532614,235.141716
866,Yes,5.541384803,242.61428
867,Yes,5.62805389,117.51525
868,No,8.791194482,127.458638
869,No,3.11643578,179.947583
870,Yes,2.086431077,139.934918
871,No,12.84560044,92.488023
872,Yes,2.704019894,117.472036
873,Yes,1.656338685,187.481057
874,Yes,14.89720747,225.145743
