,Tenure,MonthlyCharge,zMonthlyCharge,zTenure,Churn
5638,71.93174,129.9915,-0.992786316261498,1.4145695767319104,False
3976,9.104003,220.1185,1.1059679042492645,-0.9613933697996567,True
4018,19.70995,194.9663,0.5202578960926539,-0.5603071889480746,False
6688,66.8244,117.4858,-1.28400194149524,1.2214247783550638,False
8999,64.61898,129.9763,-0.9931402730574832,1.1380221849823364,False
9901,67.25434,222.6143,1.1640866786847912,1.237683863243507,True
2596,10.02603,162.4937,-0.23591956794096286,-0.9265249805768894,True
9802,49.94733,124.9607,-1.1099367010800933,0.5831828985620752,False
4567,2.804449,172.4733,-0.003528302071587264,-1.1996242467716336,True
416,6.417132666,127.460067,-1.0517348632306665,-1.0630030196222962,False
3286,22.25056,182.4608,0.22904692818517558,-0.46422868111342885,True
7379,51.83423,230.1344,1.3392044748353678,0.6545399885653392,False
2473,2.446064,194.9525,0.5199365405805094,-1.2131773289173857,True
6469,36.26479,197.6288,0.5822585519683622,0.06574888602656026,False
1482,20.13119126,129.962093,-0.9934711062285728,-0.5443770651985869,True
3975,3.430472,287.6427,2.678379054477418,-1.1759498710468397,True
5034,64.9788,212.6415,0.931853761908357,1.1516295346696412,False
8525,62.59584,184.9785,0.2876756798464971,1.0615128929853026,False
7347,63.88775,230.1344,1.3392044748353678,1.1103691853940771,False
27,1.392421597,139.981577,-0.7601510763558376,-1.2530230312768782,True
5794,67.65646,162.5299,-0.2350765918873662,1.2528908763507796,False
363,12.29558653,159.965008,-0.29480428625369665,-0.8406969294990865,True
4733,8.031947,182.4833,0.2295708773897592,-1.0019354210374218,True
177,3.701557118,207.609354,0.8146720332840116,-1.1656982174543487,True
2932,22.38582,157.4836,-0.35258791949134133,-0.4591135398797432,False
5412,44.69494,162.5007,-0.23575656152175903,0.3845527295217207,False
5379,63.38899,152.4624,-0.46951475264931425,1.09150752753726,False
5578,59.2505,162.4653,-0.2365809082703032,0.9350018285560694,False
431,5.02568958,184.978458,0.2876747018079817,-1.1156233649093394,True
4855,15.1631,227.4754,1.2772853221692622,-0.7322558797538099,True
6703,64.67729,202.65,0.6991853851263351,1.1402273002073566,False
9000,69.35043,157.4836,-0.35258791949134133,1.3169519128406995,False
8044,65.9999,112.4844,-1.4004676993531797,1.1902445776514274,False
5401,65.24071,114.9838,-1.342265093044919,1.1615342118877,False
5877,60.92178,114.9509,-1.3430312232151764,0.9982047949987294,False
752,14.08292576,195.006206,0.5211871724019033,-0.7731049393027459,False
6235,55.20546,262.6106,2.0954657707417175,0.7820301377686382,True
4175,13.70911,124.9607,-1.1099367010800933,-0.787241568075314,False
7529,50.65407,270.1604,2.271275179842344,0.6099097573192466,True
8400,59.14986,169.9671,-0.06188925747278876,0.931195915398017,False
9870,54.02641,114.9728,-1.3425212459893818,0.7374418835059062,False
6802,71.50744,120.0035,-1.225373189833918,1.398523780299463,False
8374,59.48183,162.447,-0.23700705362336466,0.9437500587910872,False
2192,17.98438,159.9476,-0.2952096599316254,-0.6255632458652046,True
3517,2.921217,114.9509,-1.3430312232151764,-1.1952084193904786,False
4624,10.14235,79.97886,-2.1574122250223065,-0.9221260952574872,False
5195,59.05164,255.1665,1.9221177585710683,0.9274815196271122,True
1788,2.095488213,247.664655,1.747425059875144,-1.2264350892575862,True
9768,69.08879,245.1283,1.688361896106644,1.3070574462402151,False
1055,8.713385365,232.641455,1.3975853403063434,-0.9761653967950232,True
5676,68.00844,92.5018,-1.8657951382646973,1.2662017399574088,False
421,3.238699239,162.460772,-0.2366863501368972,-1.183202161134736,False
8441,66.74044,112.4844,-1.4004676993531797,1.2182496544604888,False
4643,20.91805,124.9607,-1.1099367010800933,-0.514620347868556,True
268,7.425503428,220.114868,1.105883327204329,-1.0248693595339533,True
25,4.157658837,92.455141,-1.8668816691952155,-1.1484497721666669,True
7309,64.29382,207.6094,0.8146731044690521,1.1257255760547509,False
8886,63.39683,182.4676,0.2292052772781163,1.0918040136179352,False
2360,20.14176,169.9378,-0.06257155577031247,-0.5439773860786541,False
3018,21.73641,182.4653,0.22915171802609244,-0.483672344171979,False
6543,40.87895,174.9699,0.05460910166899182,0.240243045976458,False
8169,56.36817,182.4538,0.22888392176597172,0.8260004605826162,False
336,6.485034974,124.960655,-1.1099377489785025,-1.0604351511060073,True
9690,48.07729,129.995,-0.9927048130518962,0.5124634049006705,False
206,3.043063167,174.975543,0.05474050812950117,-1.1906005504492672,False
6049,67.57419,154.9618,-0.4113121463410535,1.249779663358799,False
4493,15.73713,177.6508,0.11703823156089237,-0.7105477286199005,False
8322,66.16108,210.127,0.8732995274672427,1.1963399381722426,False
6219,62.8196,172.4848,-0.0032605058114665506,1.0699748477572195,False
3427,4.075856,192.4567,0.46181776614498277,-1.1515433184077668,True
7345,66.49135,174.9919,0.055121407557917654,1.2088297924916969,False
9813,40.43984,129.9778,-0.9931053431105111,0.2236371782615108,False
3641,3.636783,137.4872,-0.8182367139150035,-1.168147786889935,False
8180,63.60495,204.9634,0.7530566780100392,1.0996745089125874,False
3746,5.962119,287.6427,2.678379054477418,-1.0802103178985574,True
162,5.972864167,139.934918,-0.7612376072863553,-1.0798039668207478,False
4752,11.89052,152.4441,-0.4699408980023757,-0.856015371832289,False
2295,14.7857,210.1051,0.8727895502414478,-0.7465280540965054,True
8188,43.99275,140.0013,-0.7596917941264154,0.3579979385792265,False
2075,8.084289,184.9853,0.2878340289394379,-0.9999559982778954,False
2264,4.719731,127.475,-1.0513871239652421,-1.1271938317758035,False
6321,57.76658,192.4404,0.46143819405455117,0.8788842743679067,False
5416,69.2962,232.624,1.397178872156743,1.3149010913923571,False
2375,2.590677,149.9483,-0.528059672437903,-1.207708484327507,False
6893,59.34372,190.127,0.40756690117084704,0.9385271388163396,False
1901,2.596050259,94.972827,-1.8082532435467322,-1.2075052832431497,False
4842,4.820891,212.6415,0.931853761908357,-1.1233682537246452,True
2836,7.606099,152.4884,-0.4689093002351287,-1.0180397583439618,False
6289,59.33259,112.4551,-1.4011499976507038,0.9381062344696673,False
1303,25.88644227,164.988941,-0.17781381073234015,-0.32673014998742184,False
400,8.611218573,220.118516,1.1059682768353654,-0.9800290488020658,True
415,5.2551003,200.165175,0.641322181469488,-1.1069477162820918,False
3066,10.02202,202.4433,0.6943720384335615,-0.9266766271564183,True
1823,12.54841227,114.972827,-1.3425206172503366,-0.8311357926691952,False
1105,13.46926706,152.455519,-0.4696749879593914,-0.7963117330317121,False
1975,12.57273206,204.979684,0.7534358775143694,-0.8302160886870603,False
5597,48.29494,107.4806,-1.5169893451262748,0.5206942971785922,False
9220,43.86959,220.1323,1.1062892597614085,0.3533403842812765,False
7930,46.39161,147.4893,-0.5853214988410449,0.44871587218738296,False
4702,11.739,225.1457,1.2230344571951264,-0.8617454191465583,True
4665,6.360959,172.4624,-0.0037821263529186216,-1.065127344886261,True
1947,21.6132385,127.473844,-1.0514140433110422,-0.4883303333666035,False
7539,65.25688,162.4713,-0.23644118848241427,1.1621457144290916,False
7218,61.11248,172.4404,-0.004294432241844456,1.005416516374331,False
7046,60.2958,197.4725,0.5786188514938555,0.974532045409327,False
1414,3.847102787,149.992756,-0.5270244419561707,-1.1601941020256463,True
8649,55.88646,172.4579,-0.00388691619383548,0.807783584317063,False
3094,3.046588,204.9496,0.7527353224978947,-1.1904672514797259,True
7771,71.98828,162.4713,-0.23644118848241427,1.4167077556861658,False
9368,71.96367,92.5018,-1.8657951382646973,1.4157770768028222,False
5145,63.656,197.4945,0.5791311573827813,1.101605071976166,False
9507,48.31275,204.9634,0.7530566780100392,0.5213678197674726,False
3034,18.24928,232.6378,1.3975002276688875,-0.6155454955117865,True
8929,42.47353,242.6106,1.6297331444453225,0.300545440685984,True
9424,59.20792,142.4827,-0.7019083471818214,0.9333915763475056,False
5734,71.02256,104.9781,-1.5752641399916114,1.3801870238201672,False
8830,65.66957,255.1372,1.921435460273544,1.1777524543058455,False
2821,7.837878,230.1051,1.3385221765378434,-1.009274548230089,False
9435,68.00653,194.9663,0.5202578960926539,1.2661295092923466,False
9331,53.99857,159.9794,-0.29446914505581406,0.7363890553826932,False
1989,1.722680046,142.515576,-0.701142775890715,-1.2405336137827707,True
3916,2.348003,104.9923,-1.5749334698269408,-1.2168857117690526,False
4154,3.988032,182.4676,0.2292052772781163,-1.1548645675849605,True
8513,43.02146,120.0035,-1.225373189833918,0.32126656545438115,False
5521,53.22972,162.4827,-0.2361757208854258,0.7073133764124193,False
4269,4.072959,240.1149,1.5716166986729267,-1.1516528745526284,True
9896,68.57996,287.6427,2.678379054477418,1.28781497016498,False
3260,10.58401,184.967,0.2874078835863771,-0.9054237939321168,False
6059,64.20616,112.4551,-1.4011499976507038,1.122410528882306,False
1087,11.24061076,255.119794,1.9210301331688784,-0.8805930559345908,True
3452,6.416264,152.4798,-0.4691095652644362,-1.0630358700531324,True
5263,65.61044,149.9845,-0.5272166963843063,1.1755163290570816,False
5609,61.47987,172.4579,-0.00388691619383548,1.0193101415247359,False
4316,15.10612,107.4958,-1.5166353883302894,-0.7344106982330011,False
9097,64.74166,232.624,1.397178872156743,1.1426615870712657,False
3402,3.545553,152.4624,-0.46951475264931425,-1.171597841116973,True
7458,61.46682,92.5018,-1.8657951382646973,1.0188166283419797,False
3466,7.047021,262.6106,2.0954657707417175,-1.0391824681668698,True
5309,67.429,137.4686,-0.8186698452574589,1.244288998300993,False
1065,4.187033385,157.469817,-0.35290887913075325,-1.1473389118850192,True
429,16.52138638,105.010962,-1.5744988947133436,-0.6808894250037607,False
3547,1.453022,120.0049,-1.2253405885500772,-1.2507312996476956,False
624,2.08299524,144.988941,-0.6435464370287358,-1.2269075372933957,True
8491,61.74695,182.4653,0.22915171802609244,1.0294103331607907,False
3688,8.116071,172.4624,-0.0037821263529186216,-0.998754095138098,True
8650,57.51975,252.6378,1.8632328539652832,0.869549879049922,False
7754,68.69674,179.9476,0.1705229663647702,1.2922312513513605,False
3288,20.45201,127.4601,-1.051734094771833,-0.5322446301437807,False
9199,48.61807,207.6094,0.8146731044690521,0.5329141373888604,False
2582,22.34478,194.9744,0.5204465178063044,-0.46066555375103146,False
8872,60.05643,137.4392,-0.8193544722181149,0.9654797656732089,False
6082,45.7211,207.4754,0.8115526958728665,0.42335912704026935,True
7189,43.59094,159.9349,-0.2955054001493235,0.3428026487736134,False
930,5.134989649,184.971516,0.28751304601339467,-1.1114899530374882,False
617,5.770302149,182.490006,0.22972703753935592,-1.0874642753424866,True
6272,54.67507,162.4689,-0.23649707639757037,0.7619723249715469,False
8075,60.57969,159.983,-0.2943853131830806,0.9852679425321352,False
6001,70.62164,242.6106,1.6297331444453225,1.365025391235447,False
8574,59.00593,214.9525,0.985669166876905,0.9257528998888912,False
9063,60.8833,222.6362,1.164596655910586,0.996749592908886,False
5803,66.99754,192.4885,0.4625582810207935,1.2279724314173168,False
1961,8.205103396,229.993134,1.3359148655760484,-0.9953871479259626,True
9459,58.87612,160.0013,-0.2939591678300198,0.9208438618617972,False
8889,46.75485,112.4551,-1.4011499976507038,0.4624525563639612,False
2920,16.93921,167.4564,-0.12035500271490646,-0.6650885464951859,False
4583,8.850759,127.4586,-1.0517690247188052,-0.9709703240106835,True
6674,71.29664,117.4872,-1.2839693402113992,1.3905519351711104,False
3083,8.268061,232.6228,1.3971509281991656,-0.9930062737858291,True
2937,12.05316,212.6415,0.931853761908357,-0.8498647983423687,False
5191,63.05897,255.1372,1.921435460273544,1.0790271274933378,False
2627,24.2732,275.1336,2.387084254697206,-0.38773829766745804,True
1248,2.694014031,157.483594,-0.35258805921112885,-1.2038005772726885,True
2606,8.867664,252.6378,1.8632328539652832,-0.9703310258992283,True
9392,50.67652,235.1372,1.4557028339771483,0.6107587512619956,False
4392,4.225661,192.4885,0.4625582810207935,-1.1458781274236451,False
6620,66.58209,124.9781,-1.1095315136952157,1.2122613163386924,False
3673,2.277916,149.9598,-0.5277918761777822,-1.2195361990058213,False
2752,9.151288,242.6143,1.6298193049811869,-0.9596051881255857,True
7071,61.343,102.4746,-1.6335622214882628,1.014134114756626,False
5065,61.32409,159.9642,-0.29482310185179916,1.013418993355406,False
492,6.935335786,129.977753,-0.9931064375821828,-1.0434060793107736,False
2314,21.08084,207.4811,0.8116854296713608,-0.5084641018133167,True
7992,65.50762,242.6281,1.6301406604933315,1.1716279746163931,False
2921,10.16511,174.9581,0.05433431941947709,-0.9212653780130788,False
1270,4.61174735,194.976769,0.5205016838358888,-1.1312774604958897,True
2000,10.50826,242.6573,1.6308206301277242,-0.9082884394182301,True
680,7.320050181,92.455141,-1.8668816691952155,-1.0288572957453666,False
6222,57.59524,200.1323,0.6405566334650129,0.8724046920894821,True
1208,19.9235245,172.462354,-0.003783197537959046,-0.5522304202698711,False
6573,47.67299,102.4746,-1.6335622214882628,0.4971739505107613,False
8300,61.75393,245.1283,1.688361896106644,1.0296742965336365,False
1491,3.468872554,162.460772,-0.2366863501368972,-1.1744976733744918,True
6103,61.28932,164.9785,-0.1780569464498985,1.0121040927144533,False
8594,67.10152,252.6378,1.8632328539652832,1.2319046536964726,False
5986,50.69944,275.1336,2.387084254697206,0.6116255192427446,True
1727,13.72354614,149.962093,-0.5277384799321772,-0.7866956350946157,False
837,23.956929,129.994975,-0.9927053952176789,-0.39969875037423763,False
2233,8.492867,137.4616,-0.8188328516766628,-0.9845047623250872,False
3058,7.296904,164.967,-0.17832474271001855,-1.0297326172360914,True
5414,64.99757,217.484,1.044619274050372,1.152339361676563,True
1998,6.093194674,217.472533,1.0443522462490846,-1.075253415748546,False
962,8.015401085,114.983787,-1.342265395771126,-1.0025611395947602,False
3505,6.023347,137.4686,-0.8186698452574589,-1.077894852369531,False
9654,66.969,184.9496,0.287002696201499,1.2268931313226146,False
8303,65.22821,210.1563,0.8739818257647664,1.1610614981111136,False
497,10.77929667,142.452604,-0.7026091816378719,-0.8980386179887028,True
2493,6.116652,127.4601,-1.051734094771833,-1.0743663276555797,False
3950,7.022294,187.4673,0.3456314478628205,-1.040117571651162,False
5883,65.54969,204.9634,0.7530566780100392,1.1732189401028719,False
2860,8.36006,262.6106,2.0954657707417175,-0.9895271382072556,True
4191,23.40043,162.4676,-0.23652734901827932,-0.4207439298907602,True
5073,66.50929,134.9509,-0.8772985969187811,1.2095082313038534,False
5489,67.2235,192.4705,0.4621391216571267,1.2365175838139133,False
9289,51.74916,197.6288,0.5822585519683622,0.6513228876874033,False
5667,52.14985,129.9621,-0.993470943222154,0.6664758223386343,False
3980,5.614935,144.9607,-0.6442040747836978,-1.093339810683386,False
4485,10.96384,240.1149,1.5716166986729267,-0.8910597240312531,True
1808,2.92969581,204.979684,0.7534358775143694,-1.1948877753667941,False
8552,44.68507,124.9607,-1.1099367010800933,0.3841794747237281,False
13,16.87922024,184.971516,0.28751304601339467,-0.6673571853756747,False
8200,49.67473,169.9741,-0.0617262510535849,0.5728739565222797,False
4396,1.15025,164.9715,-0.17821995286910236,-1.2621812592928638,False
6323,63.27315,200.1323,0.6405566334650129,1.087126794426879,False
7505,66.85534,137.4872,-0.8182367139150035,1.2225948394948705,False
1925,3.835182255,172.47417,-0.0035080427023435586,-1.1606449020016973,False
3656,8.161101,140.0049,-0.7596079622536819,-0.9970511910293232,False
4271,2.337769,207.6094,0.8146731044690521,-1.2172727319922192,True
2861,9.693608,129.9598,-0.9935245024741779,-0.9390962173001207,True
8807,62.23897,139.9512,-0.7608584543552875,1.0480171037492725,False
9377,62.91372,149.9776,-0.5273773741403787,1.073534193409404,False
4727,3.665202,104.9629,-1.5756180967875963,-1.1670730626645904,True
2557,10.69505,137.4698,-0.8186419012998816,-0.9012245829119447,False
115,23.34617699,162.452604,-0.23687655534147628,-0.4227956215106224,False
6361,60.46139,192.4404,0.46143819405455117,0.9807941793505219,False
1393,2.619468979,162.468917,-0.23649668052483772,-1.2066196551172281,False
5554,48.35393,132.466,-0.9351635470729764,0.5229251280330586,False
1926,7.918255804,169.967067,-0.0618900259316222,-1.0062348926074844,False
3002,5.519258,225.1786,1.2238005873653837,-1.0969580375635823,False
9603,51.23358,129.9621,-0.993470943222154,0.6318251461728117,False
7044,41.63772,127.4601,-1.051734094771833,0.2689375285572925,False
532,8.650238791,137.439154,-0.8193555434031553,-0.9785534172329456,True
5810,59.6057,182.447,0.22872557267303098,0.9484344632315472,False
2768,18.55263,232.652,1.3978308978335579,-0.6040736775815887,True
5979,65.29336,197.4876,0.578970479626709,1.1635252823146818,False
4367,11.86797,242.6143,1.6298193049811869,-0.856868147485251,True
7362,68.80222,232.652,1.3978308978335579,1.2962201992837068,False
1404,3.871799525,252.62403,1.8629121970520783,-1.1592601429624987,False
6294,71.20584,207.6094,0.8146731044690521,1.387118142297987,False
6959,44.9964,242.6281,1.6301406604933315,0.39595307312889855,False
7437,70.18772,255.1417,1.92154025011446,1.3486157942805388,False
8613,52.25168,159.9349,-0.2955054001493235,0.6703267378482174,False
1867,14.45556293,149.977753,-0.5273738112857872,-0.7590128813885737,False
261,3.379756569,202.443347,0.6943731329052333,-1.1778677816803769,True
8571,36.19603,112.4551,-1.4011499976507038,0.0631485820843141,False
6109,64.61204,152.4441,-0.4699408980023757,1.1377597342935757,False
524,1.502124145,139.99789,-0.7597712015391983,-1.2488743988155802,True
5248,65.28829,210.1051,0.8727895502414478,1.1633335496068982,False
2054,2.654262,192.4404,0.46143819405455117,-1.2053038838887675,False
7119,60.45093,142.5007,-0.7014891878181546,0.9803986124622744,False
8619,65.19543,127.4601,-1.051734094771833,1.1598218535033933,False
5651,61.91778,222.6362,1.164596655910586,1.0358706287171306,False
634,3.769989038,242.632554,1.6302443791492078,-1.1631103205469682,True
2139,3.362461,127.4887,-1.0510680971162292,-1.1785218499795929,False
8992,54.28874,204.9634,0.7530566780100392,0.7473624439068581,False
8496,66.89948,184.961,0.28726816379848813,1.224264086382752,False
24,5.770390256,162.511928,-0.23549509922535583,-1.0874609433910694,True
6642,61.96931,217.484,1.044619274050372,1.0378193439897303,False
1756,7.712199324,222.660939,1.1651727438826838,-1.0140273515555558,True
585,9.232644617,184.967019,0.2874083260323716,-0.956528516631797,False
6849,50.60484,182.4653,0.22915171802609244,0.608048021381539,False
6209,65.68601,107.4806,-1.5169893451262748,1.178374167464812,False
7163,66.67798,262.6106,2.0954657707417175,1.2158875982616422,False
3165,6.894406,174.991,0.055100449589734944,-1.044953925207968,True
3782,15.58596,124.9607,-1.1099367010800933,-0.7162645399484252,False
4148,2.647286,127.4421,-1.0521532541354999,-1.205567695993205,False
767,4.603347641,159.983006,-0.294385173463293,-1.1315951131489792,False
3269,29.19298,164.967,-0.17832474271001855,-0.20168647496553466,False
7649,58.76049,159.9942,-0.29412450291235454,0.9164710703428626,False
8676,49.11678,204.9634,0.7530566780100392,0.551773904390571,False
9932,55.74644,255.1336,1.9213516284008105,0.8024884336772532,True
3806,3.263347,149.9778,-0.5273727168141155,-1.1822700542397993,False
1246,10.36025557,182.45383,0.2288846203649114,-0.9138855380627751,False
6906,38.56823,232.624,1.397178872156743,0.15285831174976713,True
4117,12.50526,202.4433,0.6943720384335615,-0.8327676864707932,False
2862,8.24734,162.4538,-0.23684870453042392,-0.9937898819590006,False
7952,58.17786,159.9942,-0.29412450291235454,0.8944376921306619,False
732,21.05353987,204.949594,0.7527351827781065,-0.5094965136176044,True
5653,41.94323,140.0013,-0.7596917941264154,0.28049103142808435,False
5045,69.26833,207.6094,0.8146731044690521,1.3138471287560805,False
4737,9.712168,92.48802,-1.8661160280442153,-0.9383943318846453,False
3787,3.924965,245.1457,1.688767083491522,-1.157249578764798,True
8583,64.34133,104.9923,-1.5749334698269408,1.1275222665768003,False
6005,56.08957,114.9728,-1.3425212459893818,0.8154646159300595,False
6465,57.01834,124.9643,-1.1098528692073604,0.8505880058724686,False
740,2.282601557,124.97808,-1.1095319794278418,-1.2193590048182308,False
7361,63.42517,117.4835,-1.2840555007472638,1.0928757502922117,False
4685,4.527148,230.1344,1.3392044748353678,-1.1344767627547099,True
708,10.49916723,194.966286,0.5202575700798158,-0.9086323016299367,True
3457,11.84721,172.4624,-0.0037821263529186216,-0.8576532305254055,False
3239,3.1741,169.9447,-0.06241087801424017,-1.1856451171533195,True
8960,70.69188,172.4624,-0.0037821263529186216,1.367681664488841,False
2935,4.799511,174.9755,0.05473950680435517,-1.1241767833681187,False
8129,71.88568,149.9621,-0.5277383169257583,1.4128277210079447,False
975,7.918062789,152.479779,-0.4691100542836939,-1.0062421918754514,False
5025,60.14645,159.9349,-0.2955054001493235,0.9688840612066733,False
1663,21.87100089,194.958118,0.5200673648752366,-0.47858250673949737,False
3187,3.949032,172.4885,-0.0031743452756021664,-1.1563394345679099,False
4578,4.439464,197.4876,0.578970479626709,-1.1377927175376057,False
1295,4.397705634,147.460067,-0.5860022369342704,-1.1393718979292806,False
6943,71.15704,187.6094,0.3489404781726564,1.3852726677141938,True
9370,69.25128,137.4698,-0.8186419012998816,1.3132023471648162,False
8405,50.76631,162.5005,-0.23576121884802215,0.6141543488619707,False
