Population,Area,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
1716,Urban,3,20,10482.52,Not_Married,Female,True,13.43558029,13,2,0,True,One year,False,False,DSL,True,False,False,False,True,False,True,True,False,Auto,1.430386349,200.132293,1259.415493
52484,Suburban,4,69,33442.79,Not_Married,Male,True,10.61771118,18,1,0,False,Two Year,False,True,DSL,True,True,True,True,True,False,True,True,True,Auto,5.425864884,257.651257,1745.125956
11268,Urban,9,45,43383.54,Married,Male,False,6.613070806,14,0,0,False,Two Year,True,False,Fiber Optic,False,False,False,True,False,False,True,True,True,Auto,11.08287797,230.105118,1795.465729
1765,Rural,0,40,21793.88,Not_Married,Female,False,4.450171647,13,2,0,False,Two Year,False,True,None,True,True,False,True,False,True,False,False,False,Auto,3.586184954,147.489301,492.4771472
680,Rural,6,82,51960.51,Not_Married,Female,True,8.774646693,9,0,0,False,Month-to-month,True,True,Fiber Optic,True,False,False,True,False,False,True,True,True,Auto,4.727388465,230.105118,1013.993166
136,Rural,5,74,25942.1,Not_Married,Male,True,11.13156721,8,1,1,False,Month-to-month,False,False,DSL,True,True,True,True,False,False,True,False,False,Auto,20.89923386,174.958118,2680.762173
1517,Urban,4,69,11211.59,Not_Married,Male,True,5.540788887,15,1,0,False,One year,True,False,Fiber Optic,True,True,True,False,True,True,True,True,False,Check,3.471329958,267.664655,1081.814362
14103,Suburban,1,52,8283.29,Not_Married,Male,True,13.80362698,11,0,1,False,Month-to-month,True,False,DSL,True,True,True,True,False,True,False,False,True,Check,5.478588204,162.483267,1209.961168
6394,Suburban,2,26,10114.81,Not_Married,Female,True,16.31017089,16,1,1,False,Month-to-month,True,False,Fiber Optic,True,True,True,True,True,True,False,True,True,Auto,3.312991809,229.993134,897.5919144
5059,Urban,1,25,36229.21,Not_Married,Female,False,9.447065309,9,2,0,False,One year,True,True,DSL,True,True,True,False,True,False,False,False,True,Auto,7.161561527,140.00128,1340.930156
20450,Suburban,1,66,25397.44,Not_Married,Female,False,16.84100845,12,1,0,False,Two Year,True,False,Fiber Optic,True,False,True,True,False,True,False,True,False,Auto,9.847563364,184.964681,1113.993679
2123,Suburban,1,72,50336.5,Not_Married,Male,False,7.972937227,10,1,1,False,Two Year,True,False,Fiber Optic,True,False,False,True,True,False,False,False,False,Auto,16.04202196,147.473844,1530.10769
1164,Urban,3,21,38211.37,Not_Married,Female,False,11.42906608,12,1,0,False,Month-to-month,False,False,Fiber Optic,True,False,False,True,True,False,True,False,True,Check,9.179779682,172.457857,1310.137419
23,Suburban,3,55,52887.26,Married,Male,False,8.06137096,16,2,0,False,Month-to-month,True,False,DSL,True,False,True,False,False,True,False,False,True,Auto,3.002844144,107.481989,892.8964931
895,Suburban,4,41,12003.33,Not_Married,Male,True,12.54780492,11,1,2,False,Two Year,True,False,Fiber Optic,True,True,True,False,False,True,True,True,False,Auto,3.924254455,255.141716,1125.581944
6699,Suburban,4,32,24090.62,Not_Married,Male,False,8.255565152,13,0,0,False,Two Year,True,True,Fiber Optic,True,True,False,False,False,True,False,True,True,Auto,18.55959629,192.456745,2016.710031
35743,Rural,0,22,15137.93,Not_Married,Female,True,13.156514,6,0,0,False,Two Year,True,False,Fiber Optic,True,True,True,False,False,False,True,True,True,Auto,8.798394712,242.632554,1412.736809
320,Urban,2,44,54458.38,Not_Married,Female,True,10.58349704,5,1,0,False,Month-to-month,True,True,None,True,True,True,True,True,False,True,True,True,Auto,10.377366,245.174977,1710.689671
7870,Suburban,2,23,132116.33,Not_Married,Male,True,12.50184778,11,1,0,False,Month-to-month,True,False,Fiber Optic,True,False,True,True,False,True,False,True,True,Auto,22.25746016,184.964681,2384.885909
861,Suburban,3,43,37358.13,Not_Married,Female,True,9.750038902,11,1,0,True,Month-to-month,False,False,Fiber Optic,True,True,True,True,True,True,False,False,True,Auto,9.427146079,195.006206,1213.940165
15364,Rural,1,86,26534.16,Not_Married,Female,False,7.868660851,11,2,2,False,Two Year,True,False,None,True,False,False,False,False,False,True,False,False,Auto,7.760290062,104.962874,740.010722
2589,Suburban,2,84,76430.83,Married,Female,False,12.43563329,14,0,1,False,Month-to-month,False,True,None,True,False,False,False,False,True,False,False,True,Auto,11.56938439,92.488023,897.9716153
4901,Urban,2,62,4662.37,Not_Married,Female,True,8.957166926,13,3,0,False,Month-to-month,True,False,DSL,True,True,False,False,True,True,False,True,False,Auto,3.343811019,184.979684,1026.387172
39649,Urban,5,68,43820.85,Not_Married,Female,True,8.015021713,12,1,0,False,Month-to-month,True,False,None,True,False,False,False,True,False,True,True,True,Auto,7.338869531,187.656013,1234.244324
456,Suburban,1,59,38391.55,Not_Married,Female,False,4.210347704,8,0,0,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,True,False,True,False,True,Auto,5.486534225,149.962093,727.3731845
94,Urban,0,31,44137.6,Not_Married,Female,True,11.13960534,6,0,0,True,One year,False,False,Fiber Optic,True,True,False,False,False,False,True,False,True,Auto,1.55278221,169.944668,452.8721504
315,Urban,0,51,14364.65,Not_Married,Male,True,9.03738856,11,2,0,False,Month-to-month,True,False,Fiber Optic,True,True,True,False,True,False,False,False,True,Check,12.07970325,160.00128,1296.674543
4969,Suburban,1,58,62359.91,Not_Married,Female,False,10.91594785,11,1,1,False,One year,False,False,DSL,True,False,False,False,True,False,True,False,False,Check,13.98666226,129.962093,1840.628269
46869,Suburban,1,73,82634.86,Married,Male,True,8.387624096,11,0,1,False,Month-to-month,False,False,DSL,True,False,False,True,False,False,False,False,True,Auto,9.563362997,114.950905,1324.330108
58431,Rural,1,33,15690.25,Not_Married,Female,False,11.4487514,11,0,1,False,Two Year,False,False,None,True,False,True,False,True,True,False,True,True,Check,6.732948946,142.515576,958.1397059
26182,Suburban,1,58,14568.7,Not_Married,Male,True,10.22013704,15,2,0,False,Two Year,True,False,None,True,True,False,False,False,True,True,True,True,Auto,15.72071086,220.14775,1868.864027
694,Rural,0,49,29207.46,Not_Married,Female,False,8.425458142,9,1,0,False,Two Year,False,False,Fiber Optic,True,False,False,False,True,False,False,False,True,Auto,7.233605493,124.97808,676.712908
3093,Suburban,1,26,55319.23,Not_Married,Female,False,8.386280619,12,1,0,False,One year,False,True,DSL,True,False,True,True,False,True,False,True,True,Check,2.871017037,164.964681,1086.990308
2765,Urban,1,25,81831.49,Not_Married,Male,False,9.565924291,10,3,0,False,Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,True,False,False,Auto,2.344875382,194.976769,704.7540406
3757,Rural,0,42,100076.65,Not_Married,Female,True,10.79349982,14,3,0,False,Month-to-month,True,False,DSL,True,False,True,True,False,False,False,True,True,Check,7.960490246,152.455519,1416.444695
4938,Rural,1,81,69965.65,Not_Married,Male,False,6.081975067,15,0,0,False,Month-to-month,False,True,None,True,False,False,False,True,False,False,False,False,Check,12.25062113,92.5018,1095.950634
3761,Suburban,1,43,34883.69,Not_Married,Female,False,13.55065547,13,0,0,True,Month-to-month,False,True,None,True,False,False,False,True,False,False,True,True,Auto,9.634946079,127.488728,1083.610268
1851,Urban,2,63,45634.2,Not_Married,Male,False,9.470419821,14,1,0,False,Two Year,True,False,DSL,True,True,False,True,True,False,True,False,False,Auto,7.916533093,184.963371,1570.641337
38476,Suburban,3,70,10964.73,Married,Female,True,6.194985909,11,0,1,False,Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,True,True,True,Auto,4.471254161,265.146969,1007.425553
13547,Urban,1,78,22365.28,Not_Married,Male,True,10.80393657,19,1,0,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,True,True,False,Auto,10.79028074,207.609354,1323.028419
7801,Urban,0,48,52636.6,Not_Married,Male,False,7.903964267,17,0,1,False,Month-to-month,True,True,DSL,True,True,True,False,False,False,True,False,False,Auto,12.24190682,152.462354,1808.730555
17823,Suburban,1,63,19048.13,Not_Married,Female,True,11.27443693,18,2,1,True,Month-to-month,True,False,DSL,True,False,False,False,True,False,True,True,True,Auto,2.203859443,200.132293,1120.241472
20269,Urban,4,60,42784.82,Married,Female,True,6.129509309,12,0,0,False,One year,True,True,None,True,False,True,True,False,True,True,True,False,Auto,23.92132231,212.655686,2676.789803
30225,Rural,0,87,77996.88,Not_Married,Male,True,7.969277912,17,0,0,True,One year,True,False,DSL,True,True,False,True,False,True,True,True,True,Auto,3.7311787,255.119794,1268.086909
5760,Suburban,3,54,47507.3,Married,Female,False,4.368120492,9,0,0,False,Two Year,True,False,Fiber Optic,True,False,False,True,False,False,False,False,True,Auto,7.980015371,134.950905,822.6771666
61,Urban,3,35,7724.73,Not_Married,Male,True,6.258356398,9,0,1,False,Month-to-month,True,False,Fiber Optic,True,False,False,True,True,True,True,True,True,Auto,9.190009376,255.137219,1577.915603
34359,Urban,1,70,1509.52,Not_Married,Male,True,12.92303286,16,0,0,False,Month-to-month,False,False,Fiber Optic,True,True,False,True,True,False,False,True,False,Auto,2.378630018,214.966286,648.7471776
24693,Rural,2,67,81124.71,Married,Female,True,12.43301273,13,0,0,False,One year,True,True,DSL,True,True,True,True,True,True,True,True,True,Auto,5.43464555,270.160419,1648.102673
4235,Rural,4,46,11795.57,Not_Married,Female,True,7.607663559,11,0,0,False,Two Year,False,False,None,False,False,False,False,True,True,True,True,True,Auto,1.092361222,200.165175,768.0874545
2193,Urban,1,50,74794.84,Not_Married,Male,False,7.442789019,10,2,1,False,Two Year,False,False,DSL,True,False,False,True,False,False,False,True,False,Auto,20.13981517,149.937833,2426.030626
273,Rural,1,24,19038.78,Not_Married,Female,True,13.04429298,18,1,0,False,Month-to-month,False,True,Fiber Optic,True,True,False,False,False,False,True,True,True,Check,24.64873861,240.114868,2660.503932
14557,Rural,0,20,79167.77,Not_Married,Male,False,14.89762162,17,0,0,False,Month-to-month,False,True,Fiber Optic,True,False,True,False,True,False,False,False,True,Auto,9.677739656,127.495766,1129.549713
17653,Urban,1,29,37428.26,Married,Female,True,13.79387475,13,2,1,False,One year,True,False,DSL,True,False,False,False,False,False,True,True,False,Auto,9.82814183,187.609354,1771.286466
285,Rural,0,31,45148.38,Not_Married,Male,False,15.66367593,6,1,0,True,Month-to-month,True,False,Fiber Optic,True,True,False,False,True,True,False,False,False,Auto,7.832238337,169.992756,943.3391244
320,Urban,5,72,74855.47,Not_Married,Female,False,8.513410306,13,3,0,False,Two Year,True,False,Fiber Optic,True,True,False,False,False,True,False,True,False,Check,19.45250317,192.456745,1907.226083
2863,Urban,4,71,45323.86,Not_Married,Male,False,8.265002035,10,1,0,False,Month-to-month,False,True,DSL,True,False,True,False,True,True,False,False,True,Auto,14.34766616,120.004928,1885.939118
1206,Suburban,2,32,71596.14,Not_Married,Female,False,8.6026551,11,0,0,False,One year,True,False,Fiber Optic,True,True,True,True,True,True,False,False,False,Auto,2.257358355,195.006206,631.7435653
35279,Rural,0,33,10389.95,Not_Married,Male,False,6.03993035,15,1,0,False,One year,False,False,Fiber Optic,True,False,True,False,False,False,True,False,True,Auto,2.358129018,139.95684,562.6095219
1049,Suburban,3,67,19657.14,Not_Married,Male,False,14.6040829,12,3,0,True,Month-to-month,False,False,None,True,False,False,True,False,True,False,False,True,Auto,4.650578623,114.983787,593.8572264
32203,Suburban,0,66,27827.03,Not_Married,Female,True,7.274007029,13,1,1,False,Month-to-month,True,False,None,True,True,False,False,False,False,True,True,False,Auto,3.721772616,207.638588,777.3060718
25576,Rural,4,21,15609.05,Not_Married,Female,True,8.913898759,12,4,0,False,Month-to-month,True,False,DSL,True,False,False,False,False,False,True,True,True,Auto,3.76663012,187.609354,1393.202392
319,Urban,0,61,19815.63,Not_Married,Female,False,11.59313893,13,0,2,False,One year,True,True,Fiber Optic,True,False,False,True,False,False,False,False,True,Auto,4.151256695,134.950905,393.6524652
55519,Rural,0,75,58482.9,Not_Married,Female,True,8.294186076,13,0,0,False,Month-to-month,False,False,Fiber Optic,True,True,False,False,True,False,False,True,True,Check,2.188918771,192.470522,409.7486664
15210,Urban,0,63,41656.53,Not_Married,Female,True,15.19664016,9,1,0,False,Month-to-month,True,True,DSL,False,False,False,True,True,False,True,True,True,Check,13.85488928,222.628057,2138.107161
3499,Suburban,0,68,115510.46,Not_Married,Female,False,5.083995994,3,1,0,False,Two Year,True,False,Fiber Optic,True,False,True,False,False,True,False,True,True,Auto,3.273341151,162.468917,443.984031
14479,Suburban,2,32,15841.19,Not_Married,Male,True,6.942719201,7,1,1,False,Two Year,True,False,DSL,True,True,False,True,True,False,False,False,False,Auto,19.75096265,159.979358,2481.385603
4654,Suburban,0,76,81127.41,Not_Married,Male,False,9.834012571,7,1,0,False,Two Year,False,True,DSL,True,True,False,False,True,True,False,True,True,Check,18.38404445,184.979684,2233.567181
26320,Suburban,0,29,24270.88,Not_Married,Female,True,11.0596826,13,0,0,False,Month-to-month,False,False,Fiber Optic,True,False,True,True,True,False,True,True,True,Auto,4.672610857,245.145743,1158.91369
35,Rural,0,83,54466.33,Married,Female,False,8.834079073,17,0,1,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,True,False,False,False,False,Auto,6.796299371,124.97808,529.40733
521,Suburban,10,23,64816.84,Not_Married,Male,True,5.271228601,14,1,1,False,Month-to-month,False,False,Fiber Optic,True,False,True,True,True,True,True,False,False,Check,12.97632235,187.484705,1956.7337
17600,Rural,5,80,103311.26,Not_Married,Male,False,9.394961367,15,1,0,False,Month-to-month,False,False,Fiber Optic,True,False,True,True,True,True,False,False,True,Check,20.31163945,162.500692,2056.386979
3324,Suburban,0,20,40211.04,Not_Married,Male,False,14.4754365,11,1,1,False,One year,False,False,Fiber Optic,True,True,False,False,True,False,True,False,True,Auto,6.998814446,182.467607,1067.373076
55122,Urban,0,69,58077.38,Not_Married,Male,True,10.68311773,12,1,1,False,Month-to-month,False,False,None,False,False,False,True,True,True,True,True,True,Auto,14.46288204,222.660939,1806.135733
4038,Urban,1,32,43466.35,Not_Married,Male,False,13.79409442,10,1,0,False,One year,False,False,Fiber Optic,True,True,False,False,True,False,True,False,True,Auto,11.13472066,182.467607,1397.701335
31927,Urban,0,53,23289.77,Not_Married,Female,True,12.40165307,19,1,0,False,Month-to-month,False,True,None,True,True,False,False,True,False,True,True,True,Check,2.542296644,220.161527,808.4305471
19904,Rural,2,25,49158.49,Not_Married,Male,False,10.24782033,9,1,0,False,Two Year,False,False,Fiber Optic,True,False,False,True,False,False,False,True,True,Auto,17.22596021,169.937833,1886.531937
13000,Suburban,0,69,3805.84,Not_Married,Male,True,14.86100819,16,0,2,False,Month-to-month,True,False,Fiber Optic,False,True,False,True,True,False,True,False,True,Check,22.79214163,204.963371,2294.781131
1444,Urban,3,71,52616.27,Not_Married,Male,True,6.716953195,10,2,1,False,Month-to-month,False,False,Fiber Optic,True,True,False,True,True,False,True,False,False,Auto,3.823689744,204.963371,826.3438621
2158,Urban,3,53,30550.42,Not_Married,Female,True,8.124258176,18,1,0,False,Month-to-month,False,False,DSL,True,True,True,True,False,False,True,True,False,Auto,10.77094687,245.128318,2072.564168
1800,Urban,2,56,12154.01,Not_Married,Nonbinary,True,14.60903837,11,0,2,False,Month-to-month,False,True,None,True,True,False,True,False,True,True,False,True,Auto,13.08671185,172.473314,1436.793746
30,Suburban,0,42,30649.31,Married,Male,True,12.65015936,9,2,2,False,Month-to-month,True,False,DSL,False,True,False,False,False,True,False,True,False,Auto,14.76468813,172.456745,1963.332683
3682,Suburban,3,33,31417.33,Married,Male,True,12.0281501,14,0,0,False,Month-to-month,False,False,Fiber Optic,True,True,False,False,True,True,True,False,True,Auto,9.473091121,194.976769,1324.164906
41733,Urban,1,47,55861.19,Not_Married,Male,False,15.68043093,16,1,0,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,True,False,True,Auto,5.197446331,137.439154,704.9375603
630,Urban,1,48,9044.26,Not_Married,Female,True,11.30421466,18,3,1,False,Two Year,True,True,Fiber Optic,True,True,False,False,True,False,False,True,True,Auto,6.577552683,192.470522,888.6517305
15383,Rural,0,63,25381.66,Not_Married,Female,True,10.26646787,10,1,0,False,Month-to-month,True,False,Fiber Optic,True,False,False,False,False,True,False,True,False,Check,3.174571918,159.951231,377.0810282
257,Urban,1,40,65064.31,Not_Married,Male,False,7.56618217,9,0,0,False,Month-to-month,False,False,Fiber Optic,True,False,False,False,False,False,False,False,True,Auto,17.88002366,112.455141,1606.489936
1012,Urban,0,67,12527.51,Not_Married,Male,True,10.40677369,14,2,0,True,Month-to-month,False,False,Fiber Optic,True,False,True,True,False,True,True,False,True,Check,13.12190056,174.961766,1431.409396
20327,Urban,0,56,35499.06,Not_Married,Female,False,7.146124361,13,3,0,True,Month-to-month,False,False,Fiber Optic,True,False,True,True,False,False,True,False,False,Auto,23.34617699,162.452604,2253.85247
69,Urban,6,24,26282.4,Married,Female,False,9.807530479,10,1,0,True,One year,True,True,DSL,True,True,False,False,True,False,False,False,True,Check,6.311709178,137.483594,1353.29384
1130,Urban,2,79,51237.28,Not_Married,Female,False,10.61217014,12,3,0,False,Two Year,False,True,Fiber Optic,True,True,False,True,True,False,True,True,True,Auto,12.58298231,275.133571,1701.457566
4210,Rural,3,61,64222.21,Married,Male,True,5.785085772,16,1,1,False,Month-to-month,True,False,DSL,True,False,False,False,False,False,False,True,False,Auto,7.120096363,127.442069,1290.737183
155,Urban,0,38,11014.98,Not_Married,Male,True,9.062879297,11,2,0,True,Two Year,False,False,None,True,False,False,True,False,True,True,True,False,Auto,9.344886869,210.138,1403.270091
37711,Rural,4,28,21172.49,Not_Married,Female,False,16.54443477,13,1,0,True,Two Year,False,False,DSL,True,True,False,True,False,False,False,False,True,Auto,22.37815032,147.456419,2603.903672
1800,Urban,3,44,26130.78,Not_Married,Male,True,4.539566699,8,2,0,False,One year,True,True,None,True,True,False,True,True,False,True,True,True,Auto,4.799514433,242.657291,1256.287854
8028,Suburban,1,65,36478.21,Not_Married,Male,False,7.251198724,14,2,0,True,Month-to-month,False,True,None,True,False,False,True,False,True,False,False,True,Check,10.04672315,114.983787,980.9935923
31859,Urban,3,35,54533.63,Not_Married,Female,False,8.943293567,15,2,1,False,Month-to-month,True,True,None,True,False,False,False,True,False,True,True,True,Auto,8.156552837,187.656013,1347.869205
16101,Suburban,2,31,37103.18,Not_Married,Female,False,12.57884215,9,3,1,False,Two Year,True,False,None,True,True,False,False,True,False,True,False,False,Auto,7.992791229,149.991327,1127.267848
20449,Suburban,2,34,74679.84,Not_Married,Male,False,11.64836306,11,0,1,True,Two Year,True,True,DSL,True,True,False,False,False,False,False,False,False,Auto,7.231032028,124.960655,1269.836202
161,Urban,2,68,95028.57,Not_Married,Male,True,6.076260652,13,0,0,False,Month-to-month,True,True,None,True,True,False,False,True,False,True,True,True,Auto,4.627672042,220.161527,1038.745378
29210,Urban,0,62,34281.1,Not_Married,Male,False,11.75681641,9,0,0,False,Two Year,False,False,DSL,False,True,False,True,True,True,False,False,False,Auto,10.05306287,172.48852,1531.155367
821,Urban,0,52,36240.81,Not_Married,Male,False,9.173739977,14,0,1,False,Two Year,True,True,DSL,True,False,True,False,True,True,False,False,False,Auto,4.171044392,120.004928,991.2441024
5846,Urban,5,32,9515.64,Not_Married,Male,True,8.353693631,11,4,0,False,Month-to-month,False,False,None,True,True,False,False,True,False,True,True,True,Check,4.568682641,220.161527,1244.296865
4476,Rural,0,47,125814.88,Not_Married,Female,True,10.74539526,10,0,1,False,Month-to-month,True,False,DSL,True,False,False,False,True,False,False,True,True,Check,6.085030507,139.965008,1162.332926
5529,Rural,8,66,12995.68,Not_Married,Female,False,11.36323648,12,1,1,False,Month-to-month,True,False,Fiber Optic,True,False,False,False,False,True,False,True,True,Check,2.730250735,159.951231,577.1157824
25328,Rural,1,70,77531.43,Not_Married,Female,True,2.310584634,14,1,0,False,Month-to-month,True,False,DSL,True,True,False,True,False,True,True,False,False,Auto,8.574901206,184.949594,1442.974877
3736,Suburban,3,41,87354.99,Not_Married,Male,True,5.290318715,10,0,0,False,Month-to-month,True,False,Fiber Optic,True,True,False,False,True,False,True,True,True,Check,9.743201772,252.637807,1577.208717
610,Suburban,2,59,76567.85,Not_Married,Male,False,5.258274954,8,1,0,False,Month-to-month,True,False,Fiber Optic,True,False,False,False,False,False,False,False,True,Auto,9.482919033,112.455141,886.9398744
34,Rural,1,46,30663.52,Married,Male,False,7.157580014,12,0,0,False,Two Year,False,False,Fiber Optic,True,True,False,True,True,False,False,False,True,Auto,8.447988841,179.979358,1065.06443
3199,Suburban,3,70,122957.19,Married,Male,False,2.120350511,17,0,0,False,One year,True,True,Fiber Optic,True,True,False,True,False,False,False,True,True,Auto,6.365998533,202.443347,951.886985
1135,Urban,1,89,31600.92,Not_Married,Male,False,4.978546291,12,2,0,False,One year,False,False,DSL,True,True,False,True,True,True,True,False,True,Auto,7.251397592,197.472533,1404.435534
1750,Suburban,4,75,74638.78,Not_Married,Female,True,6.547676875,10,3,1,False,One year,False,False,Fiber Optic,False,True,True,False,True,False,True,True,True,Check,14.64011644,255.155493,1925.911722
1076,Urban,0,26,32652.3,Married,Female,True,7.410590719,9,0,1,True,Month-to-month,False,True,DSL,True,True,False,False,True,True,True,False,False,Auto,11.71637124,174.976769,1805.011298
1692,Urban,4,25,63650.54,Not_Married,Female,False,11.39765385,8,1,1,False,Two Year,True,False,Fiber Optic,True,True,False,False,True,True,False,False,True,Auto,4.13273503,169.992756,700.7343179
43123,Rural,1,84,28622.6,Not_Married,Female,True,11.29945603,14,1,0,False,Month-to-month,False,False,Fiber Optic,True,True,False,True,False,False,True,False,True,Auto,2.887429547,192.440432,513.237305
2396,Suburban,3,69,50252.79,Not_Married,Male,False,11.30748265,15,0,2,False,Month-to-month,False,True,Fiber Optic,True,False,False,True,True,False,False,True,False,Auto,3.303030246,182.460772,717.3876564
12914,Urban,3,31,19800.81,Not_Married,Male,False,10.31551212,11,2,1,False,One year,False,True,DSL,True,False,False,False,True,False,False,True,False,Auto,5.15825129,139.965008,1313.492851
