,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
6976,1,1,84,71546.23,0,1,7.446688,15,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,3,48.29423,194.9525,4697.742817,2,2,4,3,4,2,3,2,No
5715,0,0,71,36171.71,2,1,9.638183,18,2,0,0,2,1,1,0,1,0,1,0,0,1,1,0,1,2,54.78051,132.466,5151.21569,4,2,4,3,3,3,4,3,No
9164,1,3,81,19645.07,0,1,10.94239,12,2,0,0,2,1,0,2,1,0,0,0,0,0,1,0,1,2,69.62503,104.9629,5934.090437,3,4,3,3,6,3,3,4,No
4971,2,2,76,38599.07,2,1,7.178201,13,2,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,2,14.74826,232.624,2174.446655,5,5,5,4,4,4,4,4,Yes
230,1,1,35,52129.84,0,1,9.513085538,10,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,5.049303717,267.642733,1662.510936,4,4,2,3,4,3,4,3,Yes
9924,0,3,23,67050.85,0,1,7.764846,14,0,2,0,0,1,1,2,1,1,0,0,1,0,1,1,1,2,67.09737,220.1615,6335.700634,2,2,3,3,4,3,4,3,No
4655,1,8,38,25707.64,4,1,11.08933,11,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,3,8.512387,179.9476,1292.607065,4,3,4,3,5,3,3,2,Yes
1094,1,0,83,9843.69,0,1,9.646498667,12,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,6.791270714,139.951231,1103.633086,3,3,4,5,3,4,4,3,Yes
1729,1,0,78,2488.36,2,0,7.446156322,15,2,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,6.027648047,154.991856,1135.519834,4,4,3,4,3,5,5,4,Yes
1556,2,3,75,13389.11,0,0,10.3868905,11,0,0,0,2,1,0,2,0,1,0,1,1,0,1,0,1,0,11.32593703,172.487091,1380.893387,3,3,4,3,4,3,2,4,No
9253,1,6,21,49241.33,0,1,10.30157,14,0,1,0,2,1,0,0,1,1,0,0,1,0,0,1,1,1,65.85662,172.4705,6484.077095,4,4,3,4,4,4,2,2,No
8955,2,9,21,18978.48,4,1,9.410557,10,0,0,1,2,0,1,1,1,1,1,0,0,0,0,1,1,3,51.53504,182.4653,4979.515394,3,2,3,4,4,3,2,2,No
1443,0,4,50,29216.14,0,1,9.047716037,9,0,1,0,0,0,0,2,1,1,0,1,0,1,0,1,0,1,7.840871292,182.476229,1173.415489,3,3,3,3,4,4,3,2,Yes
5439,0,1,59,113028.1,0,1,11.3049,10,1,1,0,2,0,0,0,1,0,1,1,1,0,0,0,1,1,52.79234,129.9915,5072.66967,3,3,2,2,4,3,3,4,No
1234,2,2,77,11113.69,2,0,12.8348374,14,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,9.417609509,172.510442,976.910308,2,3,2,4,3,2,3,2,No
9744,1,1,85,2566.07,2,0,11.12424,13,4,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,57.1358,119.9568,5277.709711,5,3,4,4,2,3,4,4,No
9373,2,10,55,8936.79,0,0,8.106295,13,2,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,2,63.27923,162.497,6211.784273,5,5,5,4,3,5,3,5,No
460,0,2,80,99482.26,3,0,12.94031641,12,2,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,9.461939857,252.62403,1267.634616,4,4,3,4,5,3,3,2,Yes
3118,2,1,43,44039.11,1,1,11.02812,14,1,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,2,11.00718,172.4579,1373.225547,3,2,3,4,4,4,3,3,Yes
6742,1,0,30,9444.74,4,0,11.44018,6,1,1,0,1,1,0,2,1,1,0,1,1,0,1,0,1,3,65.66392,172.4871,5888.414969,4,4,4,4,4,4,4,5,No
3425,1,2,23,24979.03,0,0,6.330446,14,1,0,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,5.685414,270.1604,1812.910095,3,3,4,4,4,4,4,4,Yes
9303,0,2,54,32410.95,4,0,11.66727,10,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,60.36923,220.1323,5532.984193,3,4,3,4,2,4,5,4,No
2319,1,2,87,20648.53,4,0,5.099569,16,0,0,0,0,1,0,2,1,0,1,1,0,0,0,1,1,2,6.137692,139.9792,767.624909,4,3,5,4,4,4,3,4,No
2117,1,2,23,78026.55,4,0,2.902962,13,1,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,2,5.003409,197.6288,1106.910603,4,4,4,2,5,2,4,4,Yes
881,1,3,73,32746.0,2,0,11.90094641,8,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,3,5.295927221,152.47417,1109.108163,4,3,4,2,5,4,3,2,Yes
5002,2,1,20,62174.76,2,1,8.081801,11,0,1,1,0,0,0,2,1,1,0,1,0,0,0,1,0,3,61.5999,169.9671,5579.99579,4,5,5,3,2,4,3,3,No
1475,0,4,60,89037.69,0,0,5.771579921,7,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,10.404813,222.649979,1556.108789,5,4,5,4,1,4,5,5,Yes
8780,2,4,39,19869.24,4,0,13.34793,8,2,0,0,2,1,0,1,1,1,0,1,1,1,0,0,0,0,60.72007,192.4885,5385.46775,4,5,3,3,4,4,3,5,No
3945,0,7,78,17667.81,0,1,8.993714,10,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,3,25.43212,252.6378,2864.553994,3,3,4,2,4,2,2,3,Yes
4813,2,2,34,33426.12,1,0,8.885438,10,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,29.58658,114.9509,3041.355145,5,6,4,4,5,3,4,3,No
5324,1,9,41,26043.65,3,1,13.4417,12,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,2,47.1075,162.4526,4574.099766,3,3,3,4,4,3,3,5,No
2502,2,1,19,7332.51,4,0,14.06909,8,3,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,24.14282,162.4713,2391.497324,4,3,4,4,3,2,3,2,No
9477,0,1,34,47077.88,0,1,10.28962,12,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,61.54459,257.6375,6284.948965,2,2,2,4,2,3,3,2,No
7352,0,3,68,16657.89,0,0,10.36617,13,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,66.86351,162.5007,5766.235014,4,4,3,4,2,4,2,2,No
725,1,3,32,52856.4,4,0,9.730159336,11,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,9.820011726,159.947583,1596.707755,4,4,4,4,4,3,4,3,Yes
134,1,2,59,76567.85,3,1,5.258274954,8,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,9.482919033,112.455141,886.9398744,4,5,4,4,4,4,5,4,No
6470,0,0,29,59138.75,3,1,9.175781,12,2,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,2,68.03515,187.4673,6540.915805,5,5,4,4,3,4,3,2,No
1,2,1,27,21704.77,1,0,11.69907956,12,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4,Yes
6331,0,3,77,52290.12,4,0,9.799426,13,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,69.48178,172.4624,6035.567594,5,4,5,3,4,2,4,5,No
3750,2,2,76,38186.34,3,1,14.66477,13,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,16.05745,117.4392,1943.981469,3,3,4,1,4,2,2,3,Yes
2052,1,2,87,48476.58,1,1,12.13919,7,4,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,2.051657,242.6106,1187.716662,6,5,3,3,3,5,5,4,Yes
291,0,2,82,68122.23,3,0,9.22949351,18,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,2,18.9537053,169.974105,1746.405243,2,3,2,3,4,1,2,3,No
2788,0,1,49,38764.7,0,0,8.73353,9,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,2,6.487048,102.4746,655.1704765,2,2,3,5,1,4,4,3,No
3107,1,2,31,80392.41,1,0,9.736413,9,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,7.53282,149.9378,1403.833391,6,4,6,4,2,5,4,7,No
3473,2,4,76,42496.34,4,0,8.34686,14,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,3,5.318865,129.9621,1163.746203,2,3,3,4,3,2,4,4,No
843,0,2,60,48525.16,0,0,8.096814588,14,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,3,5.130341596,212.641455,1404.974888,6,6,4,3,4,5,4,5,Yes
8497,1,0,37,20406.36,2,0,8.849924,10,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,2,51.58987,194.9699,4608.506607,4,4,4,4,3,3,3,4,No
5643,0,0,78,72121.31,0,1,7.291041,8,3,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,2,67.93291,252.6378,6131.484263,4,5,4,4,4,5,6,5,No
6151,0,4,89,25195.84,2,0,6.900377,11,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,1,2,44.75964,127.4601,4170.169733,4,3,4,2,5,3,3,2,No
2631,0,4,18,18377.18,1,0,13.42037,7,0,0,0,2,0,1,1,1,0,0,0,1,1,0,0,0,0,1.84687,137.4872,464.4350832,3,3,3,4,4,3,3,4,No
3579,2,3,58,29334.74,0,1,11.05431,14,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,13.33383,157.4698,1312.812193,3,2,3,2,3,2,3,4,No
3245,2,1,23,77235.23,0,0,11.07961,14,3,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,3,16.23853,147.4564,2024.875698,3,4,3,5,1,6,5,4,No
7463,0,1,55,81149.0,3,1,6.209465,12,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,3,55.19347,162.4827,4934.723127,5,5,6,4,4,4,4,4,No
683,1,0,76,19288.27,0,0,11.97665938,12,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,7.847288476,112.484375,625.2785223,2,3,2,3,4,3,3,4,No
9333,0,0,25,27474.27,2,1,3.671674,6,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,3,69.69574,129.9621,6529.773925,4,4,4,3,4,3,3,3,No
2562,2,3,67,23481.88,0,0,6.923674,12,0,0,0,2,0,0,1,1,0,1,1,0,1,0,1,0,3,18.81683,184.9647,1907.20649,3,4,3,3,5,3,3,4,No
7939,1,3,68,5512.35,1,0,8.677024,12,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,64.91404,107.4958,5921.680845,5,4,5,2,4,4,3,6,No
8845,0,1,63,6025.06,1,1,12.99584,10,3,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,53.60305,217.4702,4863.296508,2,3,2,4,3,2,3,2,No
5430,0,1,39,64799.95,3,1,10.57648,10,2,0,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,67.39149,197.6288,6182.666346,3,2,3,3,4,3,3,3,No
2878,1,0,77,89957.16,3,1,10.32418,12,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,6.6307,169.9447,765.1823242,4,3,3,5,4,4,5,3,No
868,2,1,63,38378.12,4,1,19.08168517,14,2,0,0,2,1,0,2,0,0,0,1,0,0,1,0,1,3,8.791194482,127.458638,1040.933456,5,5,3,4,4,4,2,5,No
6053,1,1,24,26217.35,2,0,11.27862,8,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,2,48.02057,127.4421,4619.488116,2,3,1,5,3,2,3,2,No
9977,1,4,51,117089.4,0,1,13.87286,8,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,2,66.25635,245.1283,6703.314017,2,3,3,2,6,1,2,2,No
5658,1,2,66,43202.68,0,0,10.72389,11,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,2,60.76709,127.4738,5576.448425,4,5,4,2,4,3,3,2,No
6967,1,2,36,30967.78,0,1,8.86894,12,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,56.19888,179.9476,5021.784914,2,3,3,3,3,3,2,3,No
6152,2,1,77,69959.26,1,0,8.583757,14,0,1,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,65.79896,199.9902,6269.18922,3,4,2,4,4,3,5,3,No
6776,0,2,73,8540.76,1,1,9.346761,9,2,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,2,60.17878,192.4885,5250.358878,5,3,4,4,4,3,3,4,No
8838,0,0,30,15299.42,4,1,8.040747,8,3,1,0,0,0,0,2,1,1,0,1,1,0,1,1,1,0,51.67488,242.6573,5050.700652,3,4,2,3,4,3,3,4,Yes
5539,0,2,46,54079.21,1,0,7.362249,12,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,59.6877,125.0073,5118.044271,3,3,2,4,5,2,3,3,No
7466,2,4,71,52458.7,3,1,11.32763,13,2,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,64.15093,137.4392,5549.125491,2,3,1,4,5,3,3,3,No
1382,0,2,72,22070.09,2,0,16.15922157,13,2,0,0,2,1,0,2,0,0,1,1,1,1,0,0,1,3,4.891651665,130.024412,644.4955303,2,3,3,5,3,2,4,5,No
5235,0,5,37,47101.05,4,1,8.136004,11,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,2,71.52864,114.9728,6210.519966,4,5,4,4,3,4,4,4,No
2179,0,10,44,38310.04,2,1,6.098505,13,0,1,0,2,1,0,1,1,0,0,0,0,0,1,0,0,2,4.632153,137.4392,945.5166208,5,3,4,3,3,4,4,3,No
5501,1,1,39,44565.15,3,1,8.432151,11,2,0,0,0,0,0,2,1,0,0,0,1,1,0,1,1,2,65.33592,139.9979,5747.351224,3,3,2,1,5,3,3,3,No
7247,0,0,58,20991.61,3,0,8.098401,11,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,45.19194,172.4742,3921.432791,5,5,5,2,4,4,5,5,No
8389,2,2,35,17300.45,4,2,6.275178,14,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,3,56.43572,79.97886,4726.723807,3,2,2,5,2,4,3,4,No
1796,2,3,38,31369.76,4,0,12.48448983,9,0,1,0,2,0,0,0,1,0,0,1,1,1,1,1,0,3,14.42671843,235.137219,2363.604752,3,2,2,4,4,3,1,2,Yes
4914,2,0,70,49373.8,4,1,7.980028,14,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,11.40635,144.9889,1685.65475,3,2,4,5,3,3,3,5,Yes
7106,0,3,63,61481.0,2,0,11.45306,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,70.8569,139.965,6509.495708,4,5,6,3,5,3,3,3,No
2362,2,3,68,34688.33,1,1,7.732668,13,0,0,0,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1.5183,127.482,315.1395676,5,4,5,4,3,4,5,4,No
1610,2,0,29,18570.48,1,0,11.30937212,7,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2.294386519,172.456745,901.8793581,3,4,2,3,4,3,4,4,No
4634,0,1,77,32854.92,2,1,6.482152,11,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,12.65954,187.6094,1892.964163,2,2,2,4,2,3,3,2,Yes
9571,0,4,55,44717.94,2,0,8.318141,11,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,54.67286,159.9656,5165.862705,5,3,5,4,3,4,6,5,No
3114,2,0,53,19734.93,1,1,9.326261,11,1,0,0,2,1,0,0,1,1,0,0,0,0,0,1,1,1,1.304537,159.9476,820.0487803,3,3,2,5,2,4,4,3,Yes
3965,0,3,29,14540.8,3,1,11.77268,13,2,0,0,2,1,0,0,1,0,0,0,1,0,1,1,1,0,11.5365,200.1323,2105.034412,2,2,2,4,2,3,4,5,No
3929,1,8,25,73794.78,2,0,4.721154,9,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,2,7.778058,124.9643,965.4661617,4,4,4,4,2,4,3,4,No
4288,0,3,56,14725.39,3,1,3.363527,15,2,2,1,0,1,0,0,1,1,1,1,1,1,0,0,1,3,22.05456,175.0062,2701.761153,4,4,5,3,3,3,4,2,No
9756,2,1,65,42400.24,0,1,8.934308,14,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,50.49242,137.4392,4357.294542,3,3,3,4,3,3,4,3,No
5638,0,2,81,21145.92,4,1,12.02273,13,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,2,71.93174,129.9915,6599.564823,3,4,4,3,4,4,3,3,No
3976,1,0,33,72504.63,2,1,7.547212,13,0,0,0,2,1,0,1,0,0,0,0,0,1,1,1,1,2,9.104003,220.1185,1305.935649,5,5,4,6,2,6,5,5,Yes
4018,0,3,29,53936.98,4,2,6.130264,13,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,19.70995,194.9663,2592.211229,2,3,4,4,5,3,3,3,No
6688,0,0,66,83878.86,4,1,11.05579,13,2,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,2,66.8244,117.4858,5746.58453,4,4,4,3,3,4,4,4,No
8999,1,1,69,50817.75,4,0,11.02449,10,1,1,0,1,0,0,2,1,0,1,1,0,0,1,0,1,1,64.61898,129.9763,5623.819353,4,3,4,4,5,3,2,2,No
9901,1,9,72,77625.49,1,0,6.826295,10,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,2,67.25434,222.6143,6680.274618,4,4,4,4,3,4,3,4,Yes
2596,2,0,68,20306.89,2,1,9.811647,16,1,0,1,0,0,1,2,1,0,0,1,1,1,0,1,1,2,10.02603,162.4937,1183.503581,4,4,3,3,4,4,5,3,Yes
9802,1,0,24,41699.57,2,1,7.956304,14,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,49.94733,124.9607,4741.134235,4,3,3,4,4,4,3,4,No
4567,0,2,85,7543.45,1,0,15.41425,12,2,1,0,0,1,1,2,1,1,0,1,0,1,1,0,0,2,2.804449,172.4733,538.267259,3,4,3,5,3,3,4,3,Yes
416,2,1,22,15380.9,0,0,8.535578793,12,1,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,3,6.417132666,127.460067,1155.782468,4,4,4,3,3,3,4,2,No
3286,0,4,86,6992.92,4,0,10.66418,19,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,22.25056,182.4608,2162.669491,4,4,3,5,2,4,5,5,Yes
7379,0,3,64,10093.41,2,0,14.15526,6,2,1,0,0,0,0,2,1,1,0,1,0,0,1,1,1,0,51.83423,230.1344,4912.438643,4,4,4,3,3,3,2,5,No
2473,0,4,74,29602.2,1,1,12.79546,12,2,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,2.446064,194.9525,1066.183659,5,3,3,3,3,3,5,4,Yes
6469,1,10,64,60462.14,4,0,11.75314,11,1,0,0,1,0,0,2,0,0,0,1,0,0,1,1,1,2,36.26479,197.6288,3780.253613,5,3,4,3,4,3,3,3,No
1482,2,0,88,21816.78,3,0,8.974055518,11,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,20.13119126,129.962093,2214.953933,4,5,4,3,3,4,4,4,Yes
3975,1,0,84,26943.66,2,1,5.200476,11,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,3,3.430472,287.6427,924.9352116,6,6,6,4,4,5,5,5,Yes
5034,0,0,87,14405.88,0,1,7.65097,14,1,2,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,64.9788,212.6415,6205.78959,4,4,3,3,3,6,4,4,No
8525,0,1,37,112961.8,4,1,9.570437,17,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,3,62.59584,184.9785,5694.262968,5,4,5,4,3,4,5,3,No
7347,1,4,64,15678.41,0,0,9.26731,11,0,3,1,1,0,1,2,0,1,0,1,0,0,1,1,1,2,63.88775,230.1344,5930.862567,4,3,4,3,4,3,4,3,No
27,2,0,70,43882.72,4,0,14.73616645,12,0,0,0,0,1,0,2,1,0,0,1,1,0,1,0,1,2,1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2,Yes
5794,1,0,89,35559.68,4,1,8.845809,17,1,0,0,1,1,0,2,0,1,1,1,1,1,0,0,1,1,67.65646,162.5299,5824.23881,3,2,2,1,4,2,3,4,No
363,2,1,33,65187.42,4,0,9.826229752,13,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,2,12.29558653,159.965008,1334.403775,4,5,3,4,4,5,3,4,Yes
4733,2,0,28,951.96,1,0,5.896488,9,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,8.031947,182.4833,971.3001605,3,1,1,3,4,4,1,2,Yes
177,0,6,51,63166.87,0,0,6.094109902,11,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,3.701557118,207.609354,937.5863866,3,4,4,3,4,4,3,4,Yes
2932,0,4,63,10192.04,1,1,8.601513,20,2,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,22.38582,157.4836,2149.727449,4,5,4,3,3,3,3,2,No
5412,2,3,87,20562.72,0,1,10.91183,10,0,0,0,2,0,0,1,1,0,1,1,1,1,0,0,1,2,44.69494,162.5007,3969.782146,3,4,3,4,4,3,2,2,No
5379,0,5,89,16303.01,0,0,10.52149,9,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,2,63.38899,152.4624,5972.05769,3,3,4,5,3,4,3,6,No
5578,2,4,64,30931.95,2,1,8.038547,18,0,0,1,2,1,0,0,1,1,1,0,0,0,0,1,1,2,59.2505,162.4653,5730.292957,1,2,3,5,2,3,2,3,No
431,1,0,53,71215.87,2,0,6.702458265,13,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,3,5.02568958,184.978458,811.5600648,3,4,5,3,3,3,4,3,Yes
4855,2,2,34,56733.5,1,1,11.8323,9,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,15.1631,227.4754,1849.418149,3,3,3,3,4,4,4,3,Yes
6703,0,5,52,81315.45,2,0,9.483812,7,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,64.67729,202.65,6473.586614,3,3,3,4,3,5,4,3,No
9000,1,1,76,27917.73,0,0,10.5117,7,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,69.35043,157.4836,5780.643396,4,4,3,4,2,5,4,6,No
8044,1,1,20,6733.76,0,0,11.86573,11,2,1,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,65.9999,112.4844,5604.566058,2,3,3,3,4,1,2,3,No
5401,0,0,78,141362.6,4,0,9.366098,13,1,0,1,2,0,1,2,1,0,0,1,0,1,0,0,1,2,65.24071,114.9838,5347.776998,2,3,3,5,4,3,3,3,No
5877,0,0,70,35738.78,3,1,10.39931,14,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,60.92178,114.9509,5511.579607,3,3,4,3,4,3,3,2,No
752,1,3,79,23507.1,4,1,7.607841769,15,0,0,0,2,0,0,1,1,1,1,1,1,1,0,0,1,0,14.08292576,195.006206,1559.679776,3,4,3,5,3,4,4,6,No
6235,0,0,26,22788.17,0,1,6.094281,10,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,55.20546,262.6106,5267.957878,4,4,3,4,3,5,4,3,Yes
4175,2,4,32,44106.66,2,1,13.34936,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,13.70911,124.9607,1868.762719,5,5,5,4,2,5,4,5,No
7529,0,2,80,37333.83,2,0,9.36573,16,3,1,0,2,1,0,0,1,1,1,1,1,1,1,1,0,0,50.65407,270.1604,5310.662479,3,4,4,2,4,5,2,3,Yes
8400,1,4,76,47254.65,3,0,8.342814,8,1,0,1,0,1,0,2,1,1,0,1,0,0,0,1,1,2,59.14986,169.9671,5205.709911,2,4,3,3,4,3,3,2,No
9870,2,1,47,33999.88,3,1,9.39927,10,0,1,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,54.02641,114.9728,4620.499985,4,3,5,3,6,2,4,3,No
6802,1,8,24,11298.25,3,0,12.07558,5,0,0,0,2,0,0,2,1,0,1,0,1,0,1,0,1,3,71.50744,120.0035,6542.432114,3,2,2,5,4,3,4,2,No
8374,1,3,30,20769.65,0,1,8.318438,13,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,3,59.48183,162.447,5781.09568,4,3,4,4,2,5,5,3,No
2192,2,1,59,52409.75,4,1,10.99266,12,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2,17.98438,159.9476,2197.871959,3,4,2,3,5,3,2,3,Yes
3517,0,0,32,42555.36,1,1,7.104746,16,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2,2.921217,114.9509,883.7264825,3,4,4,4,4,4,4,5,No
