,MonthlyCharge,Tenure,Churn,Number
8188,140.0013,43.99275,False,8188
2075,184.9853,8.084289,False,2075
2264,127.475,4.719731,False,2264
6321,192.4404,57.76658,False,6321
5416,232.624,69.2962,False,5416
2375,149.9483,2.590677,False,2375
6893,190.127,59.34372,False,6893
1901,94.972827,2.596050259,False,1901
4842,212.6415,4.820891,True,4842
2836,152.4884,7.606099,False,2836
6289,112.4551,59.33259,False,6289
1303,164.988941,25.88644227,False,1303
400,220.118516,8.611218573,True,400
415,200.165175,5.2551003,False,415
3066,202.4433,10.02202,True,3066
1823,114.972827,12.54841227,False,1823
1105,152.455519,13.46926706,False,1105
1975,204.979684,12.57273206,False,1975
5597,107.4806,48.29494,False,5597
9220,220.1323,43.86959,False,9220
7930,147.4893,46.39161,False,7930
4702,225.1457,11.739,True,4702
4665,172.4624,6.360959,True,4665
1947,127.473844,21.6132385,False,1947
7539,162.4713,65.25688,False,7539
7218,172.4404,61.11248,False,7218
7046,197.4725,60.2958,False,7046
1414,149.992756,3.847102787,True,1414
8649,172.4579,55.88646,False,8649
3094,204.9496,3.046588,True,3094
7771,162.4713,71.98828,False,7771
9368,92.5018,71.96367,False,9368
5145,197.4945,63.656,False,5145
9507,204.9634,48.31275,False,9507
3034,232.6378,18.24928,True,3034
8929,242.6106,42.47353,True,8929
9424,142.4827,59.20792,False,9424
5734,104.9781,71.02256,False,5734
8830,255.1372,65.66957,False,8830
2821,230.1051,7.837878,False,2821
9435,194.9663,68.00653,False,9435
9331,159.9794,53.99857,False,9331
1989,142.515576,1.722680046,True,1989
3916,104.9923,2.348003,False,3916
4154,182.4676,3.988032,True,4154
8513,120.0035,43.02146,False,8513
5521,162.4827,53.22972,False,5521
4269,240.1149,4.072959,True,4269
9896,287.6427,68.57996,False,9896
3260,184.967,10.58401,False,3260
6059,112.4551,64.20616,False,6059
1087,255.119794,11.24061076,True,1087
3452,152.4798,6.416264,True,3452
5263,149.9845,65.61044,False,5263
5609,172.4579,61.47987,False,5609
4316,107.4958,15.10612,False,4316
9097,232.624,64.74166,False,9097
3402,152.4624,3.545553,True,3402
7458,92.5018,61.46682,False,7458
3466,262.6106,7.047021,True,3466
5309,137.4686,67.429,False,5309
1065,157.469817,4.187033385,True,1065
429,105.010962,16.52138638,False,429
3547,120.0049,1.453022,False,3547
624,144.988941,2.08299524,True,624
8491,182.4653,61.74695,False,8491
3688,172.4624,8.116071,True,3688
8650,252.6378,57.51975,False,8650
7754,179.9476,68.69674,False,7754
3288,127.4601,20.45201,False,3288
9199,207.6094,48.61807,False,9199
2582,194.9744,22.34478,False,2582
8872,137.4392,60.05643,False,8872
6082,207.4754,45.7211,True,6082
7189,159.9349,43.59094,False,7189
930,184.971516,5.134989649,False,930
617,182.490006,5.770302149,True,617
6272,162.4689,54.67507,False,6272
8075,159.983,60.57969,False,8075
6001,242.6106,70.62164,False,6001
8574,214.9525,59.00593,False,8574
9063,222.6362,60.8833,False,9063
5803,192.4885,66.99754,False,5803
1961,229.993134,8.205103396,True,1961
9459,160.0013,58.87612,False,9459
8889,112.4551,46.75485,False,8889
2920,167.4564,16.93921,False,2920
4583,127.4586,8.850759,True,4583
6674,117.4872,71.29664,False,6674
3083,232.6228,8.268061,True,3083
2937,212.6415,12.05316,False,2937
5191,255.1372,63.05897,False,5191
2627,275.1336,24.2732,True,2627
1248,157.483594,2.694014031,True,1248
2606,252.6378,8.867664,True,2606
9392,235.1372,50.67652,False,9392
4392,192.4885,4.225661,False,4392
6620,124.9781,66.58209,False,6620
3673,149.9598,2.277916,False,3673
2752,242.6143,9.151288,True,2752
7071,102.4746,61.343,False,7071
5065,159.9642,61.32409,False,5065
492,129.977753,6.935335786,False,492
2314,207.4811,21.08084,True,2314
7992,242.6281,65.50762,False,7992
2921,174.9581,10.16511,False,2921
1270,194.976769,4.61174735,True,1270
2000,242.6573,10.50826,True,2000
680,92.455141,7.320050181,False,680
6222,200.1323,57.59524,True,6222
1208,172.462354,19.9235245,False,1208
6573,102.4746,47.67299,False,6573
8300,245.1283,61.75393,False,8300
1491,162.460772,3.468872554,True,1491
6103,164.9785,61.28932,False,6103
8594,252.6378,67.10152,False,8594
5986,275.1336,50.69944,True,5986
1727,149.962093,13.72354614,False,1727
837,129.994975,23.956929,False,837
2233,137.4616,8.492867,False,2233
3058,164.967,7.296904,True,3058
5414,217.484,64.99757,True,5414
1998,217.472533,6.093194674,False,1998
962,114.983787,8.015401085,False,962
3505,137.4686,6.023347,False,3505
9654,184.9496,66.969,False,9654
8303,210.1563,65.22821,False,8303
497,142.452604,10.77929667,True,497
2493,127.4601,6.116652,False,2493
3950,187.4673,7.022294,False,3950
5883,204.9634,65.54969,False,5883
2860,262.6106,8.36006,True,2860
4191,162.4676,23.40043,True,4191
5073,134.9509,66.50929,False,5073
5489,192.4705,67.2235,False,5489
9289,197.6288,51.74916,False,9289
5667,129.9621,52.14985,False,5667
3980,144.9607,5.614935,False,3980
4485,240.1149,10.96384,True,4485
1808,204.979684,2.92969581,False,1808
8552,124.9607,44.68507,False,8552
13,184.971516,16.87922024,False,13
8200,169.9741,49.67473,False,8200
4396,164.9715,1.15025,False,4396
6323,200.1323,63.27315,False,6323
7505,137.4872,66.85534,False,7505
1925,172.47417,3.835182255,False,1925
3656,140.0049,8.161101,False,3656
4271,207.6094,2.337769,True,4271
2861,129.9598,9.693608,True,2861
8807,139.9512,62.23897,False,8807
9377,149.9776,62.91372,False,9377
4727,104.9629,3.665202,True,4727
2557,137.4698,10.69505,False,2557
115,162.452604,23.34617699,False,115
6361,192.4404,60.46139,False,6361
1393,162.468917,2.619468979,False,1393
5554,132.466,48.35393,False,5554
1926,169.967067,7.918255804,False,1926
3002,225.1786,5.519258,False,3002
9603,129.9621,51.23358,False,9603
7044,127.4601,41.63772,False,7044
532,137.439154,8.650238791,True,532
5810,182.447,59.6057,False,5810
2768,232.652,18.55263,True,2768
5979,197.4876,65.29336,False,5979
4367,242.6143,11.86797,True,4367
7362,232.652,68.80222,False,7362
1404,252.62403,3.871799525,False,1404
6294,207.6094,71.20584,False,6294
6959,242.6281,44.9964,False,6959
7437,255.1417,70.18772,False,7437
8613,159.9349,52.25168,False,8613
1867,149.977753,14.45556293,False,1867
261,202.443347,3.379756569,True,261
8571,112.4551,36.19603,False,8571
6109,152.4441,64.61204,False,6109
524,139.99789,1.502124145,True,524
5248,210.1051,65.28829,False,5248
2054,192.4404,2.654262,False,2054
7119,142.5007,60.45093,False,7119
8619,127.4601,65.19543,False,8619
5651,222.6362,61.91778,False,5651
634,242.632554,3.769989038,True,634
2139,127.4887,3.362461,False,2139
8992,204.9634,54.28874,False,8992
8496,184.961,66.89948,False,8496
24,162.511928,5.770390256,True,24
6642,217.484,61.96931,False,6642
1756,222.660939,7.712199324,True,1756
585,184.967019,9.232644617,False,585
6849,182.4653,50.60484,False,6849
6209,107.4806,65.68601,False,6209
7163,262.6106,66.67798,False,7163
3165,174.991,6.894406,True,3165
3782,124.9607,15.58596,False,3782
4148,127.4421,2.647286,False,4148
767,159.983006,4.603347641,False,767
3269,164.967,29.19298,False,3269
7649,159.9942,58.76049,False,7649
8676,204.9634,49.11678,False,8676
9932,255.1336,55.74644,True,9932
3806,149.9778,3.263347,False,3806
1246,182.45383,10.36025557,False,1246
6906,232.624,38.56823,True,6906
4117,202.4433,12.50526,False,4117
2862,162.4538,8.24734,False,2862
7952,159.9942,58.17786,False,7952
732,204.949594,21.05353987,True,732
5653,140.0013,41.94323,False,5653
5045,207.6094,69.26833,False,5045
4737,92.48802,9.712168,False,4737
3787,245.1457,3.924965,True,3787
8583,104.9923,64.34133,False,8583
6005,114.9728,56.08957,False,6005
6465,124.9643,57.01834,False,6465
740,124.97808,2.282601557,False,740
7361,117.4835,63.42517,False,7361
4685,230.1344,4.527148,True,4685
708,194.966286,10.49916723,True,708
3457,172.4624,11.84721,False,3457
3239,169.9447,3.1741,True,3239
8960,172.4624,70.69188,False,8960
2935,174.9755,4.799511,False,2935
8129,149.9621,71.88568,False,8129
975,152.479779,7.918062789,False,975
5025,159.9349,60.14645,False,5025
1663,194.958118,21.87100089,False,1663
3187,172.4885,3.949032,False,3187
4578,197.4876,4.439464,False,4578
1295,147.460067,4.397705634,False,1295
6943,187.6094,71.15704,True,6943
9370,137.4698,69.25128,False,9370
8405,162.5005,50.76631,False,8405
2549,147.4783,2.476217,False,2549
7982,119.9568,60.12954,False,7982
1236,159.934918,15.48651522,False,1236
7252,157.4836,60.7425,False,7252
7882,182.447,57.89585,False,7882
2556,147.4421,10.89683,False,2556
7610,149.9707,57.37651,False,7610
9844,220.1478,66.60166,False,9844
1976,149.97755,4.266309981,True,1976
3863,220.1185,9.373591,True,3863
2809,119.9897,11.71559,True,2809
7836,210.127,64.28134,False,7836
8445,124.9935,67.75127,False,8445
1182,144.960655,9.045537332,False,1182
2121,104.9643,27.98865,False,2121
6625,159.9476,63.41268,False,6625
4037,117.4686,1.479514,False,4037
502,129.977753,5.100566529,False,502
139,174.976769,11.71637124,True,139
6397,129.9483,53.63969,False,6397
5532,197.4876,58.52603,False,5532
8876,159.983,59.47229,False,8876
7196,144.9889,66.74885,False,7196
6820,204.9634,51.42373,True,6820
2695,240.1149,8.377189,False,2695
4021,127.4783,10.30326,False,4021
5694,149.9776,63.15946,False,5694
1880,204.963371,18.37212028,True,1880
6405,157.4698,64.78357,False,6405
5964,194.9699,52.70133,False,5964
407,162.452604,13.46565415,False,407
2605,124.9781,4.148103,False,2605
6317,114.9728,65.08131,False,6317
6548,245.175,47.23415,False,6548
6599,240.1149,69.4907,False,6599
1446,160.00128,9.605264775,False,1446
8185,137.4872,70.03794,False,8185
1882,172.470522,2.497790261,True,1882
1410,152.495236,2.988653862,True,1410
876,255.141716,1.161803984,True,876
9591,174.9699,50.09713,False,9591
7053,132.466,71.61852,False,7053
7615,152.4798,57.63584,False,7615
7809,220.1149,52.53836,False,7809
7497,149.9778,62.40518,False,7497
2385,172.4567,12.26499,True,2385
4798,129.9621,7.560138,False,4798
3820,162.4526,11.62388,True,3820
445,164.978458,10.8600084,True,445
6250,212.6228,50.47035,False,6250
3166,129.9621,7.994351,False,3166
3605,137.4392,2.407697,False,3605
7125,194.9992,65.06377,False,7125
9280,147.4421,66.72288,False,9280
7713,159.9794,67.75523,False,7713
7918,179.9656,68.26584,False,7918
5346,142.4827,67.97593,False,5346
5331,139.983,64.38382,False,5331
3515,139.9349,4.444135,True,3515
5141,212.6228,51.21873,False,5141
1951,187.609354,1.00025934,True,1951
2517,200.1323,8.619877,True,2517
869,179.947583,3.11643578,False,869
2404,152.4798,13.67733,False,2404
423,182.460772,15.22323989,True,423
1495,144.960655,14.60426293,False,1495
8294,184.961,55.71809,False,8294
2917,127.4958,21.06329,False,2917
4126,142.5007,18.03946,False,4126
7031,112.4551,51.38208,False,7031
578,92.455141,4.964368923,False,578
2407,162.4818,17.76511,False,2407
7508,117.5152,71.20362,False,7508
9741,172.4579,60.45443,False,9741
9994,142.4827,49.92156,False,9994
7322,169.9378,59.90148,False,7322
5395,200.1323,52.20263,False,5395
7987,204.961,62.86179,False,7987
5290,147.4893,48.80775,False,5290
5553,162.447,61.38199,False,5553
598,134.950905,14.57312339,False,598
5706,150.0208,63.06098,False,5706
208,162.511928,4.648958177,True,208
2608,124.9607,1.563383,False,2608
3958,127.4887,6.162825,False,3958
9227,129.9763,57.28247,False,9227
3774,222.6281,3.613493,True,3774
648,184.978458,6.90648504,False,648
1608,139.965008,10.87372395,False,1608
3218,212.6228,9.556572,True,3218
2962,172.5104,5.464488,True,2962
919,159.964152,5.451895614,True,919
5093,184.9785,67.04233,False,5093
7629,192.4567,39.32461,False,7629
5359,172.4404,65.02121,False,5359
6285,207.6094,45.28275,False,6285
3212,132.5127,1.832601,True,3212
3235,220.1615,4.14274,True,3235
7447,94.97283,62.07668,False,7447
5052,172.4742,65.15989,False,5052
3209,137.4836,2.54348,True,3209
911,172.470522,2.368283285,True,911
4297,184.9853,8.172776,False,4297
2963,149.9776,5.966695,False,2963
481,255.155493,7.176411327,True,481
1253,117.468591,13.13159395,False,1253
8217,235.1372,69.66186,False,8217
9299,124.9643,70.50182,False,9299
3764,184.9634,4.610249,True,3764
5092,230.1344,52.76082,False,5092
1041,172.455519,1.415346194,True,1041
1542,160.00128,11.71308191,False,1542
4053,172.4555,8.635904,True,4053
6819,79.97886,65.11023,False,6819
6778,82.49655,58.6244,False,6778
566,184.978458,2.685677496,False,566
1713,169.944668,8.315973557,True,1713
9203,159.9349,64.82482,False,9203
1190,187.481057,10.7468963,False,1190
3328,235.1417,7.131841,True,3328
6705,174.9755,65.60019,False,6705
8089,152.5022,68.22138,False,8089
7516,212.6415,38.34946,True,7516
4499,172.5104,19.69566,False,4499
6076,117.5015,68.5356,False,6076
809,255.119794,5.823321565,True,809
8859,139.9512,65.16987,False,8859
3683,120.0035,20.34377,False,3683
1839,139.95684,18.29765062,False,1839
875,159.965008,8.735757967,True,875
5041,267.6647,64.30623,False,5041
300,214.952509,4.439685675,False,300
4708,104.9781,9.875391,False,4708
8334,164.9715,63.3194,False,8334
6275,159.9512,68.59602,False,6275
2632,217.4702,12.23147,True,2632
4641,152.466,7.813168,False,4641
9183,149.9741,71.07066,False,9183
3237,142.5156,7.494128,False,3237
1043,232.641455,2.601455981,True,1043
1447,182.490006,4.843533662,True,1447
6398,127.4421,47.17599,False,6398
5222,252.624,67.49846,False,5222
8463,149.9447,64.48112,False,8463
5731,142.4713,65.95332,False,5731
4958,255.1336,10.70911,True,4958
1543,137.469817,1.992846597,True,1543
7856,187.5139,66.36071,False,7856
2354,157.4698,3.437502,False,2354
7010,207.4811,60.52344,False,7010
2828,172.4555,3.157767,True,2828
7213,192.4705,56.37128,False,7213
5165,172.4441,71.17531,False,5165
5097,139.9512,62.61777,False,5097
2322,149.9483,1.397042,True,2322
2718,207.4811,1.13143,True,2718
6258,104.9643,67.37641,False,6258
9934,204.9496,61.85574,False,9934
5032,159.9875,71.7083,False,5032
8648,214.9663,70.89862,False,8648
1533,222.665436,14.92730216,True,1533
1075,242.628057,3.218751358,True,1075
4447,222.65,1.193519,True,4447
7269,162.4982,70.54943,False,7269
3128,222.6143,6.21102,True,3128
169,187.656013,10.21634248,True,169
9573,142.4855,61.32712,False,9573
9996,207.4811,61.04037,False,9996
6306,129.995,66.21435,False,6306
5444,147.4421,57.74783,False,5444
891,267.664655,9.923586914,True,891
3284,172.4705,1.932645,True,3284
2311,160.0122,3.112447,True,2311
9520,147.4783,66.89696,False,9520
2892,184.9647,10.76391,False,2892
9783,179.9476,57.01956,False,9783
4020,172.4885,8.334589,True,4020
6145,204.9797,57.50554,False,6145
6214,127.4738,54.03406,False,6214
750,147.473844,20.07541432,False,750
2368,222.65,10.85537,False,2368
1509,152.462354,4.909764597,False,1509
8196,245.132,60.81814,False,8196
520,139.99789,20.43854626,False,520
856,184.993915,7.455148937,True,856
9472,204.961,51.51251,False,9472
4529,129.9778,5.260996,True,4529
2157,235.1591,2.748652,True,2157
6530,182.4676,58.12363,False,6530
1363,117.487242,4.55454522,False,1363
863,172.440432,5.240131023,True,863
3755,169.9928,3.767302,False,3755
1168,162.452604,6.133827574,True,1168
4176,169.9741,9.102322,False,4176
3433,192.4705,15.56801,False,3433
4348,164.9715,2.582668,True,4348
782,255.119794,9.582004744,True,782
1076,147.503078,10.03360917,False,1076
723,104.964303,14.71592037,False,723
6770,197.484,70.53596,False,6770
8532,149.9447,64.9377,False,8532
6369,127.475,46.30752,False,6369
7315,255.1555,63.7669,False,7315
2501,152.5104,12.00909,False,2501
1626,197.470195,11.58448327,False,1626
2890,174.9768,7.881289,True,2890
8356,240.1149,58.4866,False,8356
2258,129.9926,12.51454,False,2258
5255,147.4601,57.95857,False,5255
5712,159.9942,47.6364,False,5712
8088,179.9794,47.94936,False,8088
5705,197.484,70.22928,False,5705
5959,157.4698,55.47474,False,5959
3344,104.9643,3.707186,False,3344
8211,210.127,60.78096,False,8211
3116,129.9778,23.77384,False,3116
9926,214.9525,49.07033,False,9926
5478,152.4798,59.27489,False,5478
3693,149.9707,1.866832,True,3693
266,287.642733,11.45675389,True,266
9832,124.9781,60.10972,False,9832
6792,147.4713,51.01884,False,6792
2128,159.965,5.943865,False,2128
3008,169.9378,5.787415,False,3008
5563,222.6143,69.05558,False,5563
8521,184.9797,64.86438,True,8521
237,194.966286,9.405224809,True,237
590,137.483594,4.985175451,False,590
8355,194.9882,51.41852,False,8355
7835,240.1149,58.12044,False,7835
658,200.132293,11.24483017,True,658
3057,159.965,15.6265,False,3057
5487,149.9621,59.51288,False,5487
8482,182.4433,50.44094,False,8482
7299,152.5022,63.43312,False,7299
2616,255.1417,29.95876,True,2616
3784,202.6829,9.345696,True,3784
1380,200.118516,3.883156675,True,1380
838,139.979239,9.073819276,False,838
3978,139.9568,2.473299,False,3978
1487,124.97808,11.44196811,False,1487
616,184.963371,3.484000437,True,616
2178,207.6094,3.383778,True,2178
1865,137.439154,15.18780416,False,1865
2213,187.5139,2.707119,False,2213
7650,127.482,48.09099,False,7650
4839,220.1323,9.386672,True,4839
4478,182.4538,2.820837,True,4478
3909,214.9663,5.21614,False,3909
1051,179.947583,8.700517617,False,1051
6137,235.1372,63.66258,False,6137
5055,220.1149,69.87041,False,5055
2853,204.9496,9.546909,False,2853
3795,217.4702,17.05378,True,3795
7075,139.9875,59.11522,False,7075
2959,184.9963,8.259385,True,2959
6107,214.9663,64.54916,False,6107
506,139.934918,18.76976086,False,506
4940,245.1457,10.59224,True,4940
3489,127.4601,2.313262,False,3489
1920,164.971516,5.037146238,True,1920
7525,194.9992,42.01051,False,7525
9431,119.9568,40.8394,False,9431
7648,139.983,64.92325,False,7648
7598,117.5152,71.36862,False,7598
2687,147.4783,22.12945,False,2687
7566,149.9378,46.92377,False,7566
2807,149.9928,3.890319,True,2807
5217,169.9378,71.03326,False,5217
6568,204.961,55.72148,False,6568
7964,152.4555,63.78532,False,7964
1943,204.961033,24.37711744,True,1943
8787,242.6106,52.17851,True,8787
6493,147.4421,59.92546,False,6493
4519,104.9629,22.28926,False,4519
596,240.114868,13.70230727,True,596
8133,165.0182,49.39534,False,8133
393,187.513939,5.988505209,True,393
3759,127.4738,2.531394,False,3759
1853,187.642236,9.630236452,True,1853
1166,175.133074,17.39605821,True,1166
4272,222.6281,28.31929,False,4272
5028,197.4876,64.71488,False,5028
537,169.974105,9.450195459,False,537
119,210.138,9.344886869,True,119
9055,179.9476,69.44118,False,9055
5038,207.4974,44.98551,False,5038
7495,182.4433,64.30983,False,7495
4574,255.1198,31.79027,True,4574
519,117.485813,7.228526307,True,519
8773,139.9568,49.20691,False,8773
3126,220.1185,4.606587,True,3126
3159,219.9902,3.769755,False,3159
3215,159.965,13.61564,False,3215
6039,124.9643,42.10529,False,6039
7408,172.4624,54.84444,False,7408
9379,140.0049,56.37261,False,9379
4908,287.6427,12.00948,True,4908
6141,159.9656,65.48954,False,6141
1046,187.484705,4.486607929,False,1046
4905,164.9785,2.553094,True,4905
5315,235.1591,57.78386,False,5315
5620,262.6106,65.90305,False,5620
3420,245.1457,7.151009,True,3420
8264,217.4725,63.01044,False,8264
383,149.977753,17.6210362,False,383
724,182.443347,9.758067608,True,724
7015,149.9778,65.89807,False,7015
545,139.987503,1.597765127,False,545
6726,117.472,58.24766,False,6726
3407,147.4713,7.756546,False,3407
2016,245.1457,3.151239,True,2016
2276,127.475,6.542299,False,2276
7728,179.9656,71.4869,False,7728
6263,207.4673,47.56406,False,6263
9209,162.4526,64.17032,False,9209
8077,147.4783,70.68617,False,8077
9574,174.9768,40.51042,False,9574
3483,129.9763,7.833185,False,3483
6256,202.4433,71.44432,False,6256
6217,92.45514,60.20609,False,6217
7795,182.4762,54.79811,False,7795
1745,204.963371,24.77634001,False,1745
1411,139.965008,9.821119931,False,1411
5841,114.9976,60.69462,False,5841
3757,114.9509,5.095356,False,3757
4636,207.4754,12.4341,True,4636
9239,202.4433,69.82047,False,9239
9225,192.4705,68.97874,False,9225
1879,212.641455,7.40216226,True,1879
2506,182.4676,8.940085,False,2506
5503,159.9942,48.03427,False,5503
8956,220.1615,61.17571,True,8956
7460,124.9781,61.61486,False,7460
1198,139.951231,1.723983897,True,1198
9461,245.175,51.83082,True,9461
8335,242.6326,47.86746,False,8335
1057,232.622804,14.45990083,False,1057
5942,114.9728,67.71178,False,5942
9525,149.9915,61.50738,False,9525
4720,217.484,4.685087,False,4720
1932,182.467607,10.1127187,True,1932
320,114.972827,3.115945151,False,320
4507,129.9483,5.113589,False,4507
7794,149.9845,59.36326,False,7794
2430,172.4567,1.704751,True,2430
3372,255.1417,5.8078,False,3372
7078,172.4579,70.95891,False,7078
5885,172.4567,44.89729,False,5885
5703,152.5022,66.54232,False,5703
6869,152.4742,56.35945,False,6869
8321,175.1331,45.62851,False,8321
1048,142.485486,2.017579009,False,1048
1429,204.963371,16.78883402,True,1429
8712,222.6143,66.00509,False,8712
2931,194.9744,8.840599,True,2931
3438,210.1051,11.36757,False,3438
6872,265.1283,69.13848,True,6872
3174,117.4392,10.65826,False,3174
8487,149.9483,53.24575,False,8487
1844,112.455141,9.858971643,False,1844
2811,214.9525,11.56278,False,2811
3700,182.4433,16.64015,True,3700
7668,179.9476,71.25643,False,7668
5350,169.9671,61.18595,False,5350
9201,152.4579,71.48476,False,9201
5371,152.466,47.99369,False,5371
5900,174.9618,71.82846,False,5900
